lhs,rhs,size,support,confidence,lift,count,method,id,oddsratio
"aadA16,aadA5,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,57,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,58,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,59,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,60,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,61,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,62,NA
"aadA16,aadA5,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,63,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,64,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,65,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,66,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,67,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,68,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,69,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,70,NA
