lhs,rhs,size,support,confidence,lift,count,method,id,oddsratio,pubmedids
"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)",mcr,9,0.0022238535279385093,0.6688311688311688,38.102809859267424,103,arm,11,NA,"26194736, 26194736, 26194736, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29301876, 29301876, 29301876, 29301876, 29301876, 29326203, 29326203, 29326203, 29326203, 29326203, 29650580, 29650580, 29650580, 29650580, 29650580, 28302788, 28302788, 28302788, 28302788, 28302788, 28860257, 28860257, 28860257, 28860257, 28860257, 27365352, 27365352, 27365352, 27365352, 27365352, 26044422, 26044422, 26044422, 26044422, 26044422, 26679598, 26679598, 26679598, 26679598, 26679598, 25013133, 25013133, 25013133, 25013133, 25013133, 25103754, 25103754, 25103754, 25103754, 25103754, 29724828, 29724828, 29724828, 29724828, 29242221, 29242221, 28550057, 28550057, 26430026, 26430026, 24092795, 24092795"
"aadA2,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3,tet(A)",mcr,9,0.0019431729855773382,0.6666666666666666,37.97949979499795,90,arm,12,NA,"26194736, 26194736, 26194736, 26194736, 26194736, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29301876, 29301876, 29301876, 29301876, 29301876, 29301876, 29326203, 29326203, 29326203, 29326203, 29326203, 29326203, 29650580, 29650580, 29650580, 29650580, 29650580, 29650580, 28302788, 28302788, 28302788, 28302788, 28302788, 28302788, 28860257, 28860257, 28860257, 28860257, 28860257, 28860257, 27365352, 27365352, 27365352, 27365352, 27365352, 27365352, 26044422, 26044422, 26044422, 26044422, 26044422, 26044422, 26679598, 26679598, 26679598, 26679598, 26679598, 26679598, 25013133, 25013133, 25013133, 25013133, 25013133, 25013133, 25103754, 25103754, 25103754, 25103754, 25103754, 25103754, 29724828, 29724828, 29724828, 29724828, 29242221, 29242221, 28550057, 28550057, 26430026, 26430026, 24092795, 24092795"
"aadA1,aadA2,blaEC,cmlA1,oqxA,oqxB,qacL,sul3,tet(A)",mcr,10,0.0014249935227567147,0.8148148148148148,46.41938863833083,66,arm,13,NA,"26194736, 29535301, 29535301, 29535301, 29535301, 29535301, 29724828, 29724828, 29242221, 28550057, 26430026, 24092795"
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,qacL,sul3,tet(A)",mcr,10,0.001446584333707574,0.7790697674418605,44.383020109270866,67,arm,14,NA,"28000056, 29535301, 29535301, 29535301"
"aadA1,aadA2,blaEC,bleO,cmlA1,floR,qacL,sul3,tet(A)",mcr,10,0.0013818119008549962,0.7619047619047619,43.40514262285479,64,arm,15,NA,"29535301, 29535301, 29535301, 29535301, 29535301"
"aadA1,aadA2,aph(3')-Ia,blaEC,cmlA1,dfrA12,floR,qacL,sul3",mcr,10,0.0014034027118058554,0.7065217391304348,40.25001336969892,65,arm,16,NA,"26194736, 26194736, 26194736, 29535301, 29535301, 29535301, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29301876, 29301876, 29301876, 29326203, 29326203, 29326203, 29650580, 29650580, 29650580, 28302788, 28302788, 28302788, 28860257, 28860257, 28860257, 27365352, 27365352, 27365352, 26044422, 26044422, 26044422, 26679598, 26679598, 26679598, 25013133, 25013133, 25013133, 25103754, 25103754, 25103754, 29724828, 29724828, 29242221, 28550057, 26430026, 24092795"
"aadA1,aadA2,blaEC,cmlA1,dfrA12,floR,qacL,sul2,sul3",mcr,10,0.0014249935227567147,0.6804123711340206,38.76258226499791,66,arm,17,NA,"29535301, 29535301, 29535301, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29301876, 29301876, 29301876, 29301876, 29326203, 29326203, 29326203, 29326203, 29650580, 29650580, 29650580, 29650580, 28302788, 28302788, 28302788, 28302788, 28860257, 28860257, 28860257, 28860257, 27365352, 27365352, 27365352, 27365352, 26044422, 26044422, 26044422, 26044422, 26679598, 26679598, 26679598, 26679598, 25013133, 25013133, 25013133, 25013133, 25103754, 25103754, 25103754, 25103754, 29724828, 29724828, 29242221, 28550057, 26430026, 24092795"
"aadA1,aph(3')-Ia,blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)",mcr,10,0.001446584333707574,0.7204301075268817,41.04236268169134,67,arm,18,NA,"26194736, 26194736, 26194736, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29301876, 29301876, 29301876, 29326203, 29326203, 29326203, 29650580, 29650580, 29650580, 28302788, 28302788, 28302788, 28860257, 28860257, 28860257, 27365352, 27365352, 27365352, 26044422, 26044422, 26044422, 26679598, 26679598, 26679598, 25013133, 25013133, 25013133, 25103754, 25103754, 25103754, 29724828, 29724828, 29242221, 28550057, 26430026, 24092795"
"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul2,sul3,tet(A)",mcr,10,0.0014249935227567147,0.6875,39.166359163591636,66,arm,19,NA,"29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29301876, 29301876, 29301876, 29301876, 29326203, 29326203, 29326203, 29326203, 29650580, 29650580, 29650580, 29650580, 28302788, 28302788, 28302788, 28302788, 28860257, 28860257, 28860257, 28860257, 27365352, 27365352, 27365352, 27365352, 26044422, 26044422, 26044422, 26044422, 26679598, 26679598, 26679598, 26679598, 25013133, 25013133, 25013133, 25013133, 25103754, 25103754, 25103754, 25103754, 29724828, 29724828, 29242221, 28550057, 26430026, 24092795"
"aadA1,aadA2,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul2,sul3",mcr,10,0.0014249935227567147,0.6666666666666666,37.97949979499795,66,arm,20,NA,"26194736, 26194736, 26194736, 29535301, 29535301, 29535301, 29535301, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29748405, 29301876, 29301876, 29301876, 29301876, 29326203, 29326203, 29326203, 29326203, 29650580, 29650580, 29650580, 29650580, 28302788, 28302788, 28302788, 28302788, 28860257, 28860257, 28860257, 28860257, 27365352, 27365352, 27365352, 27365352, 26044422, 26044422, 26044422, 26044422, 26679598, 26679598, 26679598, 26679598, 25013133, 25013133, 25013133, 25013133, 25103754, 25103754, 25103754, 25103754, 29724828, 29724828, 29724828, 29724828, 29242221, 29242221, 28550057, 28550057, 26430026, 26430026, 24092795, 24092795"
