"","Odds.Ratio"
"blaOXA-232",-9.18266080286393
"blaOXA-244",-8.48941081037045
"blaOXA-364",-10.2813416269302
"blaOXA-4",-9.58816017908829
"blaOXA-48",-6.98461338995381
"blaOXA-9",-6.94821146418398
"blaOXY",-9.18266080286321
"blaPC1",-10.2813416269412
"blaPER-2",-10.281341626938
"blaPSE",-10.2813416269298
"blaR1",-10.2813416269323
"blaROB",-10.2813416269323
"blaSED",-9.58816017908963
"blaSFO-1",-10.2813416269301
"blaSHV",-8.67176663836918
"blaSHV-1",-7.50823877463839
"blaSHV-11",-9.58816017908936
"blaSHV-12",-6.00223956789385
"blaSHV-2",-8.67176663837634
"blaSHV-26",-10.2813416269345
"blaSHV-27",-10.2813416269391
"blaSHV-2A",-9.18266080287338
"blaSHV-33",-10.2813416269435
"blaSHV-5",-9.58816017909247
"blaSHV-7",-9.18266080286429
"blaSRT",-9.18266080286755
"blaTEM",-4.75131173377557
"blaTEM-1",-1.42350171064008
"blaTEM-10",-9.1826608028638
"blaTEM-105",-10.2813416269308
"blaTEM-116",-7.06164306711066
"blaTEM-12",-8.48941081037484
"blaTEM-135",-6.87915001040158
"blaTEM-148",-10.2813416269378
"blaTEM-154",-10.2813416269358
"blaTEM-156",-10.2813416269332
"blaTEM-166",-10.2813416269323
"blaTEM-169",-9.18266080287159
"blaTEM-176",-8.67176663837456
"blaTEM-181",-9.58816017909367
"blaTEM-19",-8.67176663837605
"blaTEM-190",-8.08384287981896
"blaTEM-20",-10.2813416269323
"blaTEM-207",-10.2813416269323
"blaTEM-208",-10.2813416269391
"blaTEM-210",-9.58816017909391
"blaTEM-215",-9.18266080287062
"blaTEM-26",-10.281341626937
"blaTEM-3",-10.2813416269435
"blaTEM-30",-7.23613362376324
"blaTEM-32",-9.58816017909449
"blaTEM-33",-8.48941081036589
"blaTEM-34",-9.5881601790942
"blaTEM-35",-8.48941081037461
"blaTEM-40",-7.57281157923898
"blaTEM-52",-7.71598098538827
"blaTEM-54",-10.2813416269407
"blaTEM-57",-7.79605797047626
"blaTEM-8",-10.2813416269435
"blaTEM-84",-9.58816017909658
"blaTEM-9",-10.2813416269435
"blaVEB-1",-10.2813416269378
"blaVEB-17",-10.2813416269435
"blaVEB-5",-10.2813416269393
"blaVIM-1",-9.18266080286115
"blaVIM-29",-10.2813416269297
"blaVIM-4",-10.2813416269295
"blaZ",-10.2813416269323
"ble",-4.29143247430634
"ble-Sh",-9.58816017908779
"bleO",-4.23633367700993
"catA",-7.18957931752038
