,threshold,specificity,sensitivity,accuracy,tn,tp,fn,fp,npv,ppv,fdr,fpr,tpr,tnr,fnr,1-specificity,1-sensitivity,1-accuracy,1-npv,1-ppv,precision,recall,youden,closest.topleft,is_best,model
20,0.020644623,0.943328551,0.410958904,0.937810592,6575,30,43,395,0.993502569,0.070588235,0.929411765,0.056671449,0.410958904,0.943328551,0.589041096,0.056671449,0.589041096,0.062189408,0.006497431,0.929411765,0.070588235,0.410958904,1.354287455,0.350181066,FALSE,glm
21,0.022615745,0.943472023,0.410958904,0.937952577,6576,30,43,394,0.99350355,0.070754717,0.929245283,0.056527977,0.410958904,0.943472023,0.589041096,0.056527977,0.589041096,0.062047423,0.00649645,0.929245283,0.070754717,0.410958904,1.354430927,0.350164825,FALSE,glm
22,0.024107779,0.943615495,0.410958904,0.938094562,6577,30,43,393,0.993504532,0.070921986,0.929078014,0.056384505,0.410958904,0.943615495,0.589041096,0.056384505,0.589041096,0.061905438,0.006495468,0.929078014,0.070921986,0.410958904,1.354574399,0.350148625,FALSE,glm
23,0.025161615,0.944189383,0.410958904,0.938662502,6581,30,43,389,0.993508454,0.071599045,0.928400955,0.055810617,0.410958904,0.944189383,0.589041096,0.055810617,0.589041096,0.061337498,0.006491546,0.928400955,0.071599045,0.410958904,1.355148287,0.350084238,FALSE,glm
24,0.0259047,0.944332855,0.410958904,0.938804487,6582,30,43,388,0.993509434,0.071770335,0.928229665,0.055667145,0.410958904,0.944332855,0.589041096,0.055667145,0.589041096,0.061195513,0.006490566,0.928229665,0.071770335,0.410958904,1.355291759,0.350068244,FALSE,glm
25,0.027325533,0.944619799,0.410958904,0.939088457,6584,30,43,386,0.993511393,0.072115385,0.927884615,0.055380201,0.410958904,0.944619799,0.589041096,0.055380201,0.589041096,0.060911543,0.006488607,0.927884615,0.072115385,0.410958904,1.355578703,0.350036379,FALSE,glm
26,0.028217568,0.944763271,0.410958904,0.939230442,6585,30,43,385,0.993512372,0.072289157,0.927710843,0.055236729,0.410958904,0.944763271,0.589041096,0.055236729,0.589041096,0.060769558,0.006487628,0.927710843,0.072289157,0.410958904,1.355722175,0.350020509,FALSE,glm
27,0.028907202,0.944906743,0.410958904,0.939372427,6586,30,43,384,0.99351335,0.072463768,0.927536232,0.055093257,0.410958904,0.944906743,0.589041096,0.055093257,0.589041096,0.060627573,0.00648665,0.927536232,0.072463768,0.410958904,1.355865647,0.35000468,FALSE,glm
28,0.029800984,0.945050215,0.397260274,0.939372427,6587,29,44,383,0.9933645,0.07038835,0.92961165,0.054949785,0.397260274,0.945050215,0.602739726,0.054949785,0.602739726,0.060627573,0.0066355,0.92961165,0.07038835,0.397260274,1.342310489,0.366314656,FALSE,glm
29,0.031055676,0.947202296,0.383561644,0.941360216,6602,28,45,368,0.993230029,0.070707071,0.929292929,0.052797704,0.383561644,0.947202296,0.616438356,0.052797704,0.616438356,0.058639784,0.006769971,0.929292929,0.070707071,0.383561644,1.330763939,0.382783845,FALSE,glm
30,0.032243225,0.947345768,0.383561644,0.941502201,6603,28,45,367,0.993231047,0.070886076,0.929113924,0.052654232,0.383561644,0.947345768,0.616438356,0.052654232,0.616438356,0.058497799,0.006768953,0.929113924,0.070886076,0.383561644,1.330907411,0.382768715,FALSE,glm
31,0.033189354,0.94748924,0.383561644,0.941644186,6604,28,45,366,0.993232065,0.07106599,0.92893401,0.05251076,0.383561644,0.94748924,0.616438356,0.05251076,0.616438356,0.058355814,0.006767935,0.92893401,0.07106599,0.383561644,1.331050883,0.382753627,FALSE,glm
32,0.034188283,0.948350072,0.383561644,0.942496095,6610,28,45,360,0.993238167,0.072164948,0.927835052,0.051649928,0.383561644,0.948350072,0.616438356,0.051649928,0.616438356,0.057503905,0.006761833,0.927835052,0.072164948,0.383561644,1.331911716,0.382663962,FALSE,glm
33,0.0351994,0.951649928,0.383561644,0.945761749,6633,28,45,337,0.993261456,0.076712329,0.923287671,0.048350072,0.383561644,0.951649928,0.616438356,0.048350072,0.616438356,0.054238251,0.006738544,0.923287671,0.076712329,0.383561644,1.335211572,0.382333976,FALSE,glm
34,0.035997473,0.976757532,0.356164384,0.970325146,6808,26,47,162,0.993143691,0.138297872,0.861702128,0.023242468,0.356164384,0.976757532,0.643835616,0.023242468,0.643835616,0.029674854,0.006856309,0.861702128,0.138297872,0.356164384,1.332921916,0.415064513,FALSE,glm
35,0.036625228,0.976901004,0.356164384,0.97046713,6809,26,47,161,0.993144691,0.139037433,0.860962567,0.023098996,0.356164384,0.976901004,0.643835616,0.023098996,0.643835616,0.02953287,0.006855309,0.860962567,0.139037433,0.356164384,1.333065388,0.415057865,FALSE,glm
36,0.037552828,0.977044476,0.356164384,0.970609115,6810,26,47,160,0.993145691,0.139784946,0.860215054,0.022955524,0.356164384,0.977044476,0.643835616,0.022955524,0.643835616,0.029390885,0.006854309,0.860215054,0.139784946,0.356164384,1.33320886,0.415051257,FALSE,glm
37,0.037898972,0.977187948,0.356164384,0.9707511,6811,26,47,159,0.99314669,0.140540541,0.859459459,0.022812052,0.356164384,0.977187948,0.643835616,0.022812052,0.643835616,0.0292489,0.00685331,0.859459459,0.140540541,0.356164384,1.333352332,0.415044691,FALSE,glm
38,0.039198683,0.980057389,0.342465753,0.973448814,6831,25,48,139,0.993022242,0.152439024,0.847560976,0.019942611,0.342465753,0.980057389,0.657534247,0.019942611,0.657534247,0.026551186,0.006977758,0.847560976,0.152439024,0.342465753,1.322523142,0.432748993,FALSE,glm
39,0.040745309,0.980200861,0.342465753,0.973590799,6832,25,48,138,0.993023256,0.153374233,0.846625767,0.019799139,0.342465753,0.980200861,0.657534247,0.019799139,0.657534247,0.026409201,0.006976744,0.846625767,0.153374233,0.342465753,1.322666614,0.432743291,FALSE,glm
40,0.041162778,0.980344333,0.342465753,0.973732784,6833,25,48,137,0.99302427,0.154320988,0.845679012,0.019655667,0.342465753,0.980344333,0.657534247,0.019655667,0.657534247,0.026267216,0.00697573,0.845679012,0.154320988,0.342465753,1.322810086,0.432737631,FALSE,glm
41,0.041996481,0.983787661,0.342465753,0.977140423,6857,25,48,113,0.993048516,0.18115942,0.81884058,0.016212339,0.342465753,0.983787661,0.657534247,0.016212339,0.657534247,0.022859577,0.006951484,0.81884058,0.18115942,0.342465753,1.326253415,0.432614125,FALSE,glm
42,0.044352239,0.984505022,0.342465753,0.977850348,6862,25,48,108,0.993053546,0.187969925,0.812030075,0.015494978,0.342465753,0.984505022,0.657534247,0.015494978,0.657534247,0.022149652,0.006946454,0.812030075,0.187969925,0.342465753,1.326970775,0.43259138,FALSE,glm
43,0.046243874,0.985652798,0.328767123,0.978844243,6870,24,49,100,0.992918052,0.193548387,0.806451613,0.014347202,0.328767123,0.985652798,0.671232877,0.014347202,0.671232877,0.021155757,0.007081948,0.806451613,0.193548387,0.328767123,1.314419921,0.450759417,FALSE,glm
44,0.046742671,0.98579627,0.328767123,0.978986227,6871,24,49,99,0.992919075,0.195121951,0.804878049,0.01420373,0.328767123,0.98579627,0.671232877,0.01420373,0.671232877,0.021013773,0.007080925,0.804878049,0.195121951,0.328767123,1.314563393,0.450755321,FALSE,glm
45,0.047039441,0.985939742,0.328767123,0.979128212,6872,24,49,98,0.992920098,0.196721311,0.803278689,0.014060258,0.328767123,0.985939742,0.671232877,0.014060258,0.671232877,0.020871788,0.007079902,0.803278689,0.196721311,0.328767123,1.314706865,0.450751266,FALSE,glm
46,0.047772618,0.986083214,0.328767123,0.979270197,6873,24,49,97,0.992921121,0.198347107,0.801652893,0.013916786,0.328767123,0.986083214,0.671232877,0.013916786,0.671232877,0.020729803,0.007078879,0.801652893,0.198347107,0.328767123,1.314850337,0.450747252,FALSE,glm
47,0.048493859,0.986657102,0.328767123,0.979838137,6877,24,49,93,0.992925209,0.205128205,0.794871795,0.013342898,0.328767123,0.986657102,0.671232877,0.013342898,0.671232877,0.020161863,0.007074791,0.794871795,0.205128205,0.328767123,1.315424225,0.450731608,FALSE,glm
48,0.049111006,0.986800574,0.315068493,0.979838137,6878,23,50,92,0.99278291,0.2,0.8,0.013199426,0.315068493,0.986800574,0.684931507,0.013199426,0.684931507,0.020161863,0.00721709,0.8,0.2,0.315068493,1.301869067,0.469305394,FALSE,glm
49,0.050270598,0.98723099,0.315068493,0.980264092,6881,23,50,89,0.992786034,0.205357143,0.794642857,0.01276901,0.315068493,0.98723099,0.684931507,0.01276901,0.684931507,0.019735908,0.007213966,0.794642857,0.205357143,0.315068493,1.302299483,0.469294217,FALSE,glm
50,0.05093472,0.98723099,0.301369863,0.980122107,6881,22,51,89,0.992642816,0.198198198,0.801801802,0.01276901,0.301369863,0.98723099,0.698630137,0.01276901,0.698630137,0.019877893,0.007357184,0.801801802,0.198198198,0.301369863,1.288600853,0.488247116,FALSE,glm
51,0.052178643,0.987374462,0.301369863,0.980264092,6882,22,51,88,0.992643877,0.2,0.8,0.012625538,0.301369863,0.987374462,0.698630137,0.012625538,0.698630137,0.019735908,0.007356123,0.8,0.2,0.301369863,1.288744325,0.488243473,FALSE,glm
52,0.053902634,0.987517934,0.301369863,0.980406077,6883,22,51,87,0.992644938,0.201834862,0.798165138,0.012482066,0.301369863,0.987517934,0.698630137,0.012482066,0.698630137,0.019593923,0.007355062,0.798165138,0.201834862,0.301369863,1.288887797,0.48823987,FALSE,glm
53,0.054505837,0.987804878,0.301369863,0.980690047,6885,22,51,85,0.992647059,0.205607477,0.794392523,0.012195122,0.301369863,0.987804878,0.698630137,0.012195122,0.698630137,0.019309953,0.007352941,0.794392523,0.205607477,0.301369863,1.289174741,0.488232789,FALSE,glm
54,0.055276035,0.98794835,0.301369863,0.980832032,6886,22,51,84,0.992648119,0.20754717,0.79245283,0.01205165,0.301369863,0.98794835,0.698630137,0.01205165,0.698630137,0.019167968,0.007351881,0.79245283,0.20754717,0.301369863,1.289318213,0.488229311,FALSE,glm
55,0.056048833,0.98794835,0.273972603,0.980548062,6886,20,53,84,0.992362012,0.192307692,0.807692308,0.01205165,0.273972603,0.98794835,0.726027397,0.01205165,0.726027397,0.019451938,0.007637988,0.807692308,0.192307692,0.273972603,1.261920953,0.527261024,FALSE,glm
56,0.056105164,0.988091822,0.273972603,0.980690047,6887,20,53,83,0.992363112,0.194174757,0.805825243,0.011908178,0.273972603,0.988091822,0.726027397,0.011908178,0.726027397,0.019309953,0.007636888,0.805825243,0.194174757,0.273972603,1.262064425,0.527257586,FALSE,glm
57,0.057004521,0.988522238,0.260273973,0.980974017,6890,19,54,80,0.992223502,0.191919192,0.808080808,0.011477762,0.260273973,0.988522238,0.739726027,0.011477762,0.739726027,0.019025983,0.007776498,0.808080808,0.191919192,0.260273973,1.248796211,0.547326335,FALSE,glm
58,0.057907733,0.989096126,0.260273973,0.981541957,6894,19,54,76,0.992227979,0.2,0.8,0.010903874,0.260273973,0.989096126,0.739726027,0.010903874,0.739726027,0.018458043,0.007772021,0.8,0.2,0.260273973,1.249370099,0.54731349,FALSE,glm
59,0.059237122,0.989239598,0.260273973,0.981683942,6895,19,54,75,0.992229098,0.20212766,0.79787234,0.010760402,0.260273973,0.989239598,0.739726027,0.010760402,0.739726027,0.018316058,0.007770902,0.79787234,0.20212766,0.260273973,1.249513571,0.547310382,FALSE,glm
60,0.06072234,0.989526542,0.260273973,0.981967911,6897,19,54,73,0.992231334,0.206521739,0.793478261,0.010473458,0.260273973,0.989526542,0.739726027,0.010473458,0.739726027,0.018032089,0.007768666,0.793478261,0.206521739,0.260273973,1.249800515,0.547304289,FALSE,glm
61,0.06098338,0.989670014,0.260273973,0.982109896,6898,19,54,72,0.992232451,0.208791209,0.791208791,0.010329986,0.260273973,0.989670014,0.739726027,0.010329986,0.739726027,0.017890104,0.007767549,0.791208791,0.208791209,0.260273973,1.249943987,0.547301304,FALSE,glm
62,0.061294599,0.99010043,0.260273973,0.982535851,6901,19,54,69,0.992235802,0.215909091,0.784090909,0.00989957,0.260273973,0.99010043,0.739726027,0.00989957,0.739726027,0.017464149,0.007764198,0.784090909,0.215909091,0.260273973,1.250374403,0.547292597,FALSE,glm
63,0.061885062,0.990674319,0.260273973,0.983103791,6905,19,54,65,0.992240264,0.226190476,0.773809524,0.009325681,0.260273973,0.990674319,0.739726027,0.009325681,0.739726027,0.016896209,0.007759736,0.773809524,0.226190476,0.260273973,1.250948291,0.547281564,FALSE,glm
64,0.06350449,0.990817791,0.260273973,0.983245776,6906,19,54,64,0.992241379,0.228915663,0.771084337,0.009182209,0.260273973,0.990817791,0.739726027,0.009182209,0.739726027,0.016754224,0.007758621,0.771084337,0.228915663,0.260273973,1.251091763,0.547278909,FALSE,glm
65,0.064870767,0.991965567,0.260273973,0.984381656,6914,19,54,56,0.992250287,0.253333333,0.746666667,0.008034433,0.260273973,0.991965567,0.739726027,0.008034433,0.739726027,0.015618344,0.007749713,0.746666667,0.253333333,0.260273973,1.252239539,0.547259148,FALSE,glm
66,0.065007051,0.992109039,0.260273973,0.98452364,6915,19,54,55,0.992251399,0.256756757,0.743243243,0.007890961,0.260273973,0.992109039,0.739726027,0.007890961,0.739726027,0.01547636,0.007748601,0.743243243,0.256756757,0.260273973,1.252383011,0.547256863,FALSE,glm
