mcr_group,pdt
MCR02,PDT000346827.1
MCR02,PDT000346829.1
MCR02,PDT000346832.1
MCR02,PDT000346834.1
MCR02,PDT000346835.1
MCR02,PDT000346838.1
MCR02,PDT000346841.1
MCR02,PDT000346843.1
MCR02,PDT000346845.1
MCR02,PDT000346848.1
MCR02,PDT000346850.1
MCR02,PDT000346855.1
MCR02,PDT000346856.1
MCR02,PDT000346861.1
MCR02,PDT000346862.1
MCR02,PDT000346865.1
MCR02,PDT000346873.1
MCR02,PDT000346877.1
MCR02,PDT000346879.1
MCR02,PDT000346882.1
MCR02,PDT000346884.1
MCR02,PDT000346889.1
MCR02,PDT000346897.1
MCR02,PDT000346900.1
MCR02,PDT000346907.1
MCR02,PDT000346909.1
MCR02,PDT000346910.1
MCR02,PDT000346911.1
MCR02,PDT000346924.1
MCR02,PDT000346925.1
MCR02,PDT000346926.1
MCR02,PDT000346927.1
MCR02,PDT000346928.1
MCR02,PDT000346929.1
MCR02,PDT000346931.1
MCR02,PDT000346932.1
MCR02,PDT000346933.1
MCR02,PDT000346936.1
MCR02,PDT000346937.1
MCR02,PDT000346938.1
MCR02,PDT000346941.1
MCR02,PDT000346948.1
MCR02,PDT000346949.1
MCR02,PDT000346950.1
MCR02,PDT000346954.1
MCR02,PDT000346955.1
MCR02,PDT000346958.1
MCR02,PDT000346961.1
MCR02,PDT000346962.1
MCR02,PDT000346965.1
MCR02,PDT000346967.1
MCR02,PDT000346972.1
MCR02,PDT000346977.1
MCR02,PDT000346978.1
MCR02,PDT000346980.1
MCR02,PDT000353622.1
MCR02,PDT000360978.1
MCR02,PDT000365978.1
MCR02,PDT000388467.1
MCR02,PDT000270533.3
MCR02,PDT000394411.1
MCR02,PDT000396736.1
MCR02,PDT000396766.1
MCR03,PDT000124649.1
MCR03,PDT000124650.1
MCR03,PDT000124670.1
MCR03,PDT000124674.1
MCR03,PDT000124676.1
MCR03,PDT000124681.1
MCR03,PDT000124686.1
MCR03,PDT000124688.1
MCR03,PDT000124715.1
MCR03,PDT000129704.1
MCR03,PDT000129924.1
MCR03,PDT000130968.1
MCR03,PDT000135480.1
MCR03,PDT000144602.1
MCR03,PDT000158042.1
MCR03,PDT000168712.1
MCR03,PDT000168716.1
MCR03,PDT000168729.1
MCR03,PDT000168734.1
MCR03,PDT000168735.1
MCR03,PDT000168736.1
MCR03,PDT000168748.1
MCR03,PDT000168749.1
MCR03,PDT000168750.1
MCR03,PDT000168751.1
MCR03,PDT000168752.1
MCR03,PDT000168754.1
MCR03,PDT000168758.1
MCR03,PDT000168759.1
MCR03,PDT000168767.1
MCR03,PDT000168777.1
MCR03,PDT000168778.1
MCR03,PDT000168779.1
MCR03,PDT000168785.1
MCR03,PDT000168787.1
MCR03,PDT000168788.1
MCR03,PDT000168794.1
MCR03,PDT000168799.1
MCR03,PDT000168809.1
MCR03,PDT000168818.1
MCR03,PDT000168821.1
MCR03,PDT000168824.1
MCR03,PDT000168827.1
MCR03,PDT000168837.1
MCR03,PDT000168845.1
MCR03,PDT000168848.1
MCR03,PDT000168850.1
MCR03,PDT000168864.1
MCR03,PDT000168877.1
MCR03,PDT000171419.1
MCR03,PDT000171422.1
MCR03,PDT000171435.1
MCR03,PDT000171438.1
MCR03,PDT000171442.1
MCR03,PDT000176456.1
MCR03,PDT000181680.2
MCR03,PDT000181681.2
MCR03,PDT000181819.2
MCR03,PDT000181837.2
MCR03,PDT000181848.2
MCR03,PDT000190871.1
MCR03,PDT000208669.1
MCR03,PDT000209466.1
MCR03,PDT000210703.1
MCR03,PDT000212780.1
MCR03,PDT000212781.1
MCR03,PDT000212783.1
MCR03,PDT000212786.1
MCR03,PDT000212793.1
MCR03,PDT000217694.1
MCR03,PDT000219685.1
MCR03,PDT000219684.1
MCR03,PDT000219686.1
MCR03,PDT000219688.1
MCR03,PDT000220632.1
MCR03,PDT000222628.1
MCR03,PDT000225232.1
MCR03,PDT000225236.1
MCR03,PDT000225239.1
MCR03,PDT000225241.1
MCR03,PDT000233270.1
MCR03,PDT000233275.1
MCR03,PDT000233276.1
MCR03,PDT000233278.1
MCR03,PDT000233279.1
MCR03,PDT000233299.1
MCR03,PDT000233304.1
MCR03,PDT000233325.1
MCR03,PDT000233326.1
MCR03,PDT000233338.1
MCR03,PDT000233843.1
MCR03,PDT000237131.1
MCR03,PDT000237132.1
MCR03,PDT000237133.1
MCR03,PDT000237134.1
MCR03,PDT000237135.1
MCR03,PDT000237137.1
MCR03,PDT000237138.1
MCR03,PDT000238522.1
MCR03,PDT000240707.1
MCR03,PDT000264497.1
MCR03,PDT000264498.1
MCR03,PDT000264500.1
MCR03,PDT000264501.1
MCR03,PDT000270453.1
MCR03,PDT000274551.2
MCR03,PDT000276016.1
MCR03,PDT000276018.1
MCR03,PDT000276020.1
MCR03,PDT000276022.1
MCR03,PDT000276841.1
MCR03,PDT000276842.1
MCR03,PDT000281814.1
MCR03,PDT000287993.1
MCR03,PDT000287994.1
MCR03,PDT000287995.1
MCR03,PDT000289871.1
MCR03,PDT000289874.1
MCR03,PDT000289875.1
MCR03,PDT000289876.1
MCR03,PDT000289878.1
MCR03,PDT000289879.1
MCR03,PDT000289881.1
MCR03,PDT000289884.1
MCR03,PDT000289885.1
MCR03,PDT000289890.1
MCR03,PDT000289891.1
MCR03,PDT000289893.1
MCR03,PDT000289894.1
MCR03,PDT000289898.1
MCR03,PDT000289901.1
MCR03,PDT000289903.1
MCR03,PDT000289908.1
MCR03,PDT000289909.1
MCR03,PDT000289910.1
MCR03,PDT000289915.1
MCR03,PDT000289917.1
MCR03,PDT000290002.1
MCR03,PDT000291269.1
MCR03,PDT000291281.1
MCR03,PDT000291282.1
MCR03,PDT000291284.1
MCR03,PDT000294377.1
MCR03,PDT000294380.1
MCR03,PDT000294381.1
MCR03,PDT000294386.1
MCR03,PDT000294389.1
MCR03,PDT000294390.1
MCR03,PDT000294391.1
MCR03,PDT000294392.1
MCR03,PDT000294396.1
MCR03,PDT000294397.1
MCR03,PDT000294410.1
MCR03,PDT000298029.1
MCR03,PDT000298030.1
MCR03,PDT000298031.1
MCR03,PDT000298032.1
MCR03,PDT000298038.1
MCR03,PDT000298039.1
MCR03,PDT000298040.1
MCR03,PDT000298042.1
MCR03,PDT000298044.1
MCR03,PDT000298047.1
MCR03,PDT000298048.1
MCR03,PDT000298050.1
MCR03,PDT000298052.1
MCR03,PDT000298053.1
MCR03,PDT000298056.1
MCR03,PDT000298057.1
MCR03,PDT000298058.1
MCR03,PDT000298062.1
MCR03,PDT000298066.1
MCR03,PDT000298068.1
MCR03,PDT000298069.1
MCR03,PDT000298071.1
MCR03,PDT000298072.1
MCR03,PDT000298076.1
MCR03,PDT000298083.1
MCR03,PDT000298084.1
MCR03,PDT000298086.1
MCR03,PDT000313448.1
MCR03,PDT000181469.3
MCR03,PDT000318166.1
MCR03,PDT000321278.1
MCR03,PDT000321279.1
MCR03,PDT000321291.1
MCR03,PDT000321293.1
MCR03,PDT000321294.1
MCR03,PDT000321295.1
MCR03,PDT000325631.1
MCR03,PDT000327854.1
MCR03,PDT000327857.1
MCR03,PDT000331967.1
MCR03,PDT000333201.1
MCR03,PDT000334835.1
MCR03,PDT000346531.1
MCR03,PDT000346532.1
MCR03,PDT000346533.1
MCR03,PDT000346535.1
MCR03,PDT000346536.1
MCR03,PDT000346538.1
MCR03,PDT000346541.1
MCR03,PDT000346543.1
MCR03,PDT000346546.1
MCR03,PDT000346547.1
MCR03,PDT000346548.1
MCR03,PDT000346549.1
MCR03,PDT000346550.1
MCR03,PDT000346551.1
MCR03,PDT000346554.1
MCR03,PDT000346555.1
MCR03,PDT000346556.1
MCR03,PDT000346557.1
MCR03,PDT000346558.1
MCR03,PDT000346565.1
MCR03,PDT000346566.1
MCR03,PDT000346567.1
MCR03,PDT000346568.1
MCR03,PDT000346571.1
MCR03,PDT000346573.1
MCR03,PDT000346574.1
MCR03,PDT000346577.1
MCR03,PDT000346581.1
MCR03,PDT000346587.1
MCR03,PDT000346588.1
MCR03,PDT000346590.1
MCR03,PDT000346592.1
MCR03,PDT000346594.1
MCR03,PDT000346595.1
MCR03,PDT000346596.1
MCR03,PDT000346598.1
MCR03,PDT000346599.1
MCR03,PDT000346601.1
MCR03,PDT000346604.1
MCR03,PDT000346605.1
MCR03,PDT000346608.1
MCR03,PDT000346614.1
MCR03,PDT000346616.1
MCR03,PDT000346619.1
MCR03,PDT000346623.1
MCR03,PDT000346624.1
MCR03,PDT000346628.1
MCR03,PDT000346632.1
MCR03,PDT000346635.1
MCR03,PDT000346636.1
MCR03,PDT000346642.1
MCR03,PDT000346643.1
MCR03,PDT000346645.1
MCR03,PDT000346649.1
MCR03,PDT000346652.1
MCR03,PDT000346654.1
MCR03,PDT000346655.1
MCR03,PDT000346656.1
MCR03,PDT000346657.1
MCR03,PDT000346660.1
MCR03,PDT000346662.1
MCR03,PDT000346663.1
MCR03,PDT000346665.1
MCR03,PDT000346667.1
MCR03,PDT000346668.1
MCR03,PDT000346670.1
MCR03,PDT000346671.1
MCR03,PDT000346672.1
MCR03,PDT000346676.1
MCR03,PDT000346678.1
MCR03,PDT000346680.1
MCR03,PDT000346786.1
MCR03,PDT000346789.1
MCR03,PDT000346809.1
MCR03,PDT000346817.1
MCR03,PDT000346821.1
MCR03,PDT000346829.1
MCR03,PDT000346833.1
MCR03,PDT000346835.1
MCR03,PDT000346839.1
MCR03,PDT000346840.1
MCR03,PDT000346841.1
MCR03,PDT000346843.1
MCR03,PDT000346845.1
MCR03,PDT000346848.1
MCR03,PDT000346855.1
MCR03,PDT000346856.1
MCR03,PDT000346858.1
MCR03,PDT000346861.1
MCR03,PDT000346865.1
MCR03,PDT000346866.1
MCR03,PDT000346868.1
MCR03,PDT000346869.1
MCR03,PDT000346871.1
MCR03,PDT000346873.1
MCR03,PDT000346877.1
MCR03,PDT000346879.1
MCR03,PDT000346880.1
MCR03,PDT000346882.1
MCR03,PDT000346884.1
MCR03,PDT000346886.1
MCR03,PDT000346893.1
MCR03,PDT000346896.1
MCR03,PDT000346900.1
MCR03,PDT000346907.1
MCR03,PDT000346909.1
MCR03,PDT000346910.1
MCR03,PDT000346911.1
MCR03,PDT000346912.1
MCR03,PDT000346925.1
MCR03,PDT000346928.1
MCR03,PDT000346931.1
MCR03,PDT000346940.1
MCR03,PDT000346941.1
MCR03,PDT000346944.1
MCR03,PDT000346948.1
MCR03,PDT000346949.1
MCR03,PDT000346950.1
MCR03,PDT000346952.1
MCR03,PDT000346954.1
MCR03,PDT000346955.1
MCR03,PDT000346960.1
MCR03,PDT000346961.1
MCR03,PDT000346962.1
MCR03,PDT000346965.1
MCR03,PDT000346972.1
MCR03,PDT000346974.1
MCR03,PDT000346978.1
MCR03,PDT000346980.1
MCR03,PDT000346981.1
MCR03,PDT000353622.1
MCR03,PDT000354226.1
MCR03,PDT000355788.1
MCR03,PDT000360978.1
MCR03,PDT000360980.1
MCR03,PDT000364514.1
MCR03,PDT000364522.1
MCR03,PDT000365978.1
MCR03,PDT000373302.1
MCR03,PDT000388467.1
MCR03,PDT000393718.1
MCR03,PDT000394409.1
MCR03,PDT000394411.1
MCR03,PDT000396736.1
MCR04,PDT000124649.1
MCR04,PDT000124650.1
MCR04,PDT000124670.1
MCR04,PDT000124674.1
MCR04,PDT000124676.1
MCR04,PDT000124681.1
MCR04,PDT000124686.1
MCR04,PDT000124688.1
MCR04,PDT000124714.1
MCR04,PDT000124725.1
MCR04,PDT000129097.2
MCR04,PDT000129704.1
MCR04,PDT000129924.1
MCR04,PDT000130968.1
MCR04,PDT000132483.8
MCR04,PDT000135480.1
MCR04,PDT000136715.1
MCR04,PDT000136717.1
MCR04,PDT000137641.2
MCR04,PDT000142661.1
MCR04,PDT000144602.1
MCR04,PDT000163381.1
MCR04,PDT000163382.1
MCR04,PDT000163383.1
MCR04,PDT000163384.1
MCR04,PDT000168712.1
MCR04,PDT000168716.1
MCR04,PDT000168717.1
MCR04,PDT000168729.1
MCR04,PDT000168734.1
MCR04,PDT000168735.1
MCR04,PDT000168743.1
MCR04,PDT000168747.1
MCR04,PDT000168748.1
MCR04,PDT000168749.1
MCR04,PDT000168750.1
MCR04,PDT000168751.1
MCR04,PDT000168752.1
MCR04,PDT000168759.1
MCR04,PDT000168767.1
MCR04,PDT000168777.1
MCR04,PDT000168778.1
MCR04,PDT000168779.1
MCR04,PDT000168785.1
MCR04,PDT000168787.1
MCR04,PDT000168788.1
MCR04,PDT000168794.1
MCR04,PDT000168809.1
MCR04,PDT000168818.1
MCR04,PDT000168821.1
MCR04,PDT000168824.1
MCR04,PDT000168827.1
MCR04,PDT000168828.1
MCR04,PDT000168837.1
MCR04,PDT000168845.1
MCR04,PDT000168848.1
MCR04,PDT000168860.1
MCR04,PDT000168864.1
MCR04,PDT000168867.1
MCR04,PDT000168870.1
MCR04,PDT000168871.1
MCR04,PDT000168873.1
MCR04,PDT000168876.1
MCR04,PDT000168877.1
MCR04,PDT000171419.1
MCR04,PDT000171420.1
MCR04,PDT000171422.1
MCR04,PDT000171424.1
MCR04,PDT000171425.1
MCR04,PDT000171426.1
MCR04,PDT000171427.1
MCR04,PDT000171428.1
MCR04,PDT000171429.1
MCR04,PDT000171430.1
MCR04,PDT000171431.1
MCR04,PDT000171432.1
MCR04,PDT000171433.1
MCR04,PDT000171434.1
MCR04,PDT000171436.1
MCR04,PDT000171439.1
MCR04,PDT000176456.1
MCR04,PDT000181681.2
MCR04,PDT000181742.2
MCR04,PDT000181819.2
MCR04,PDT000181837.2
MCR04,PDT000181848.2
MCR04,PDT000186173.1
MCR04,PDT000186200.1
MCR04,PDT000189723.1
MCR04,PDT000208669.1
MCR04,PDT000209466.1
MCR04,PDT000209467.1
MCR04,PDT000210703.1
MCR04,PDT000212780.1
MCR04,PDT000212781.1
MCR04,PDT000212782.1
MCR04,PDT000212783.1
MCR04,PDT000212784.1
MCR04,PDT000212786.1
MCR04,PDT000212793.1
MCR04,PDT000215974.1
MCR04,PDT000219683.1
MCR04,PDT000219685.1
MCR04,PDT000219684.1
MCR04,PDT000219686.1
MCR04,PDT000219687.1
MCR04,PDT000219688.1
MCR04,PDT000220632.1
MCR04,PDT000222628.1
MCR04,PDT000225231.1
MCR04,PDT000225232.1
MCR04,PDT000225233.1
MCR04,PDT000225234.1
MCR04,PDT000225235.1
MCR04,PDT000225236.1
MCR04,PDT000225237.1
MCR04,PDT000225238.1
MCR04,PDT000225239.1
MCR04,PDT000225242.1
MCR04,PDT000225244.1
MCR04,PDT000227987.1
MCR04,PDT000233270.1
MCR04,PDT000233275.1
MCR04,PDT000233277.1
MCR04,PDT000233279.1
MCR04,PDT000233297.1
MCR04,PDT000233303.1
MCR04,PDT000233325.1
MCR04,PDT000233326.1
MCR04,PDT000233842.1
MCR04,PDT000236047.1
MCR04,PDT000237134.1
MCR04,PDT000237135.1
MCR04,PDT000237136.1
MCR04,PDT000237137.1
MCR04,PDT000237138.1
MCR04,PDT000238528.1
MCR04,PDT000238530.1
MCR04,PDT000238072.2
MCR04,PDT000240704.1
MCR04,PDT000240705.1
MCR04,PDT000240706.1
MCR04,PDT000240707.1
MCR04,PDT000242482.1
MCR04,PDT000242484.1
MCR04,PDT000244075.1
MCR04,PDT000244076.1
MCR04,PDT000250700.1
MCR04,PDT000271760.1
MCR04,PDT000276016.1
MCR04,PDT000276017.1
MCR04,PDT000276018.1
MCR04,PDT000276841.1
MCR04,PDT000276842.1
MCR04,PDT000277855.1
MCR04,PDT000281814.1
MCR04,PDT000285319.1
MCR04,PDT000287993.1
MCR04,PDT000287994.1
MCR04,PDT000287995.1
MCR04,PDT000287996.1
MCR04,PDT000289871.1
MCR04,PDT000289872.1
MCR04,PDT000289873.1
MCR04,PDT000289874.1
MCR04,PDT000289875.1
MCR04,PDT000289876.1
MCR04,PDT000289877.1
MCR04,PDT000289878.1
MCR04,PDT000289879.1
MCR04,PDT000289881.1
MCR04,PDT000289882.1
MCR04,PDT000289883.1
MCR04,PDT000289884.1
MCR04,PDT000289885.1
MCR04,PDT000289886.1
MCR04,PDT000289887.1
MCR04,PDT000289888.1
MCR04,PDT000289889.1
MCR04,PDT000289890.1
MCR04,PDT000289891.1
MCR04,PDT000289892.1
MCR04,PDT000289893.1
MCR04,PDT000289895.1
MCR04,PDT000289896.1
MCR04,PDT000289897.1
MCR04,PDT000289898.1
MCR04,PDT000289899.1
MCR04,PDT000289900.1
MCR04,PDT000289901.1
MCR04,PDT000289903.1
MCR04,PDT000289904.1
MCR04,PDT000289905.1
MCR04,PDT000289906.1
MCR04,PDT000289907.1
MCR04,PDT000289908.1
MCR04,PDT000289909.1
MCR04,PDT000289910.1
MCR04,PDT000289911.1
MCR04,PDT000289912.1
MCR04,PDT000289914.1
MCR04,PDT000289915.1
MCR04,PDT000289917.1
MCR04,PDT000290002.1
MCR04,PDT000290003.1
MCR04,PDT000291269.1
MCR04,PDT000291279.1
MCR04,PDT000291280.1
MCR04,PDT000291281.1
MCR04,PDT000291283.1
MCR04,PDT000291285.1
MCR04,PDT000291286.1
MCR04,PDT000291287.1
MCR04,PDT000294377.1
MCR04,PDT000294378.1
MCR04,PDT000294379.1
MCR04,PDT000294380.1
MCR04,PDT000294381.1
MCR04,PDT000294382.1
MCR04,PDT000294384.1
MCR04,PDT000294387.1
MCR04,PDT000294388.1
MCR04,PDT000294389.1
MCR04,PDT000294390.1
MCR04,PDT000294391.1
MCR04,PDT000294392.1
MCR04,PDT000294393.1
MCR04,PDT000294394.1
MCR04,PDT000294395.1
MCR04,PDT000294396.1
MCR04,PDT000294397.1
MCR04,PDT000294410.1
MCR04,PDT000294554.1
MCR04,PDT000294555.1
MCR04,PDT000294556.1
MCR04,PDT000298014.1
MCR04,PDT000298027.1
MCR04,PDT000298028.1
MCR04,PDT000298029.1
MCR04,PDT000298030.1
MCR04,PDT000298031.1
MCR04,PDT000298032.1
MCR04,PDT000298033.1
MCR04,PDT000298034.1
MCR04,PDT000298036.1
MCR04,PDT000298037.1
MCR04,PDT000298038.1
MCR04,PDT000298039.1
MCR04,PDT000298041.1
MCR04,PDT000298042.1
MCR04,PDT000298044.1
MCR04,PDT000298047.1
MCR04,PDT000298048.1
MCR04,PDT000298050.1
MCR04,PDT000298052.1
MCR04,PDT000298053.1
MCR04,PDT000298054.1
MCR04,PDT000298057.1
MCR04,PDT000298058.1
MCR04,PDT000298061.1
MCR04,PDT000298062.1
MCR04,PDT000298063.1
MCR04,PDT000298066.1
MCR04,PDT000298067.1
MCR04,PDT000298068.1
MCR04,PDT000298069.1
MCR04,PDT000298071.1
MCR04,PDT000298074.1
MCR04,PDT000298075.1
MCR04,PDT000298076.1
MCR04,PDT000298077.1
MCR04,PDT000298080.1
MCR04,PDT000298083.1
MCR04,PDT000298084.1
MCR04,PDT000298085.1
MCR04,PDT000298086.1
MCR04,PDT000298087.1
MCR04,PDT000298088.1
MCR04,PDT000298089.1
MCR04,PDT000308361.1
MCR04,PDT000313447.1
MCR04,PDT000313448.1
MCR04,PDT000321298.1
MCR04,PDT000321305.1
MCR04,PDT000321306.1
MCR04,PDT000321307.1
MCR04,PDT000321308.1
MCR04,PDT000321312.1
MCR04,PDT000321315.1
MCR04,PDT000321318.1
MCR04,PDT000322738.1
MCR04,PDT000327854.1
MCR04,PDT000327855.1
MCR04,PDT000327857.1
MCR04,PDT000329817.1
MCR04,PDT000331967.1
MCR04,PDT000333201.1
MCR04,PDT000346531.1
MCR04,PDT000346532.1
MCR04,PDT000346534.1
MCR04,PDT000346536.1
MCR04,PDT000346540.1
MCR04,PDT000346541.1
MCR04,PDT000346542.1
MCR04,PDT000346543.1
MCR04,PDT000346544.1
MCR04,PDT000346545.1
MCR04,PDT000346546.1
MCR04,PDT000346547.1
MCR04,PDT000346551.1
MCR04,PDT000346555.1
MCR04,PDT000346556.1
MCR04,PDT000346557.1
MCR04,PDT000346558.1
MCR04,PDT000346560.1
MCR04,PDT000346561.1
MCR04,PDT000346562.1
MCR04,PDT000346564.1
MCR04,PDT000346565.1
MCR04,PDT000346566.1
MCR04,PDT000346572.1
MCR04,PDT000346573.1
MCR04,PDT000346574.1
MCR04,PDT000346577.1
MCR04,PDT000346578.1
MCR04,PDT000346583.1
MCR04,PDT000346584.1
MCR04,PDT000346585.1
MCR04,PDT000346587.1
MCR04,PDT000346588.1
MCR04,PDT000346590.1
