"","PDG","PDT","bioproject"
"15875","PDG000000004.1046","PDT000147728.2","PRJNA315192"
"15876","PDG000000004.1046","PDT000147723.2","PRJNA315192"
"15877","PDG000000004.1046","PDT000147734.2","PRJNA315192"
"15878","PDG000000004.1046","PDT000147724.2","PRJNA315192"
"15879","PDG000000004.1046","PDT000147738.2","PRJNA315192"
"15880","PDG000000004.1046","PDT000147744.2","PRJNA315192"
"15881","PDG000000004.1046","PDT000147736.2","PRJNA315192"
"15882","PDG000000004.1046","PDT000147720.2","PRJNA315192"
"15883","PDG000000004.1046","PDT000147729.2","PRJNA315192"
"15884","PDG000000004.1046","PDT000147725.2","PRJNA315192"
"15885","PDG000000004.1046","PDT000147737.2","PRJNA315192"
"15886","PDG000000004.1046","PDT000147719.2","PRJNA315192"
"15887","PDG000000004.1046","PDT000147721.2","PRJNA315192"
"15888","PDG000000004.1046","PDT000147726.2","PRJNA315192"
"15889","PDG000000004.1046","PDT000147727.2","PRJNA315192"
"15890","PDG000000004.1046","PDT000147730.2","PRJNA315192"
"15891","PDG000000004.1046","PDT000147741.2","PRJNA315192"
"15892","PDG000000004.1046","PDT000147745.2","PRJNA315192"
"15893","PDG000000004.1046","PDT000147748.2","PRJNA315192"
"15894","PDG000000004.1046","PDT000147750.2","PRJNA315192"
"15895","PDG000000004.1046","PDT000147755.2","PRJNA315192"
"15896","PDG000000004.1046","PDT000147757.2","PRJNA315192"
"15897","PDG000000004.1046","PDT000147762.2","PRJNA315192"
"15898","PDG000000004.1046","PDT000147767.2","PRJNA315192"
"15899","PDG000000004.1046","PDT000147768.2","PRJNA315192"
"15900","PDG000000004.1046","PDT000147771.2","PRJNA315192"
"15901","PDG000000004.1046","PDT000147759.2","PRJNA315192"
"15902","PDG000000004.1046","PDT000147754.2","PRJNA315192"
"15903","PDG000000004.1046","PDT000147746.2","PRJNA315192"
"15904","PDG000000004.1046","PDT000147753.2","PRJNA315192"
"15905","PDG000000004.1046","PDT000147751.2","PRJNA315192"
"15906","PDG000000004.1046","PDT000147764.2","PRJNA315192"
"15907","PDG000000004.1046","PDT000147770.2","PRJNA315192"
"15908","PDG000000004.1046","PDT000147761.2","PRJNA315192"
"15909","PDG000000004.1046","PDT000147766.2","PRJNA315192"
"15910","PDG000000004.1046","PDT000147749.2","PRJNA315192"
"15911","PDG000000004.1046","PDT000147765.2","PRJNA315192"
"15912","PDG000000004.1046","PDT000147773.2","PRJNA315192"
"15913","PDG000000004.1046","PDT000147758.2","PRJNA315192"
"15914","PDG000000004.1046","PDT000147760.2","PRJNA315192"
"15915","PDG000000004.1046","PDT000147775.2","PRJNA315192"
"15916","PDG000000004.1046","PDT000147779.2","PRJNA315192"
"15917","PDG000000004.1046","PDT000147780.2","PRJNA315192"
"15918","PDG000000004.1046","PDT000147791.2","PRJNA315192"
"15919","PDG000000004.1046","PDT000147799.2","PRJNA315192"
"15920","PDG000000004.1046","PDT000147802.2","PRJNA315192"
"15921","PDG000000004.1046","PDT000147784.2","PRJNA315192"
"15922","PDG000000004.1046","PDT000147778.2","PRJNA315192"
"15923","PDG000000004.1046","PDT000147783.2","PRJNA315192"
"15924","PDG000000004.1046","PDT000147801.2","PRJNA315192"
"15925","PDG000000004.1046","PDT000147781.2","PRJNA315192"
"15926","PDG000000004.1046","PDT000147798.2","PRJNA315192"
"15927","PDG000000004.1046","PDT000147785.2","PRJNA315192"
"15928","PDG000000004.1046","PDT000147790.2","PRJNA315192"
"15929","PDG000000004.1046","PDT000147793.2","PRJNA315192"
"15930","PDG000000004.1046","PDT000147782.2","PRJNA315192"
"15931","PDG000000004.1046","PDT000147792.2","PRJNA315192"
"15932","PDG000000004.1046","PDT000147794.2","PRJNA315192"
"15933","PDG000000004.1046","PDT000147797.2","PRJNA315192"
"15934","PDG000000004.1046","PDT000147807.2","PRJNA315192"
"15935","PDG000000004.1046","PDT000147810.2","PRJNA315192"
"15936","PDG000000004.1046","PDT000147812.2","PRJNA315192"
"15937","PDG000000004.1046","PDT000147823.2","PRJNA315192"
"15938","PDG000000004.1046","PDT000147827.2","PRJNA315192"
"15939","PDG000000004.1046","PDT000147828.2","PRJNA315192"
"15940","PDG000000004.1046","PDT000147830.2","PRJNA315192"
"15941","PDG000000004.1046","PDT000147825.2","PRJNA315192"
"15942","PDG000000004.1046","PDT000147814.2","PRJNA315192"
"15943","PDG000000004.1046","PDT000147811.2","PRJNA315192"
"15944","PDG000000004.1046","PDT000147824.2","PRJNA315192"
"15945","PDG000000004.1046","PDT000147803.2","PRJNA315192"
"15946","PDG000000004.1046","PDT000147806.2","PRJNA315192"
"15947","PDG000000004.1046","PDT000147826.2","PRJNA315192"
"15948","PDG000000004.1046","PDT000147805.2","PRJNA315192"
"15949","PDG000000004.1046","PDT000147815.2","PRJNA315192"
"15950","PDG000000004.1046","PDT000147804.2","PRJNA315192"
"15951","PDG000000004.1046","PDT000147818.2","PRJNA315192"
"15952","PDG000000004.1046","PDT000147816.2","PRJNA315192"
"15953","PDG000000004.1046","PDT000147822.2","PRJNA315192"
"15954","PDG000000004.1046","PDT000147809.2","PRJNA315192"
"15955","PDG000000004.1046","PDT000147817.2","PRJNA315192"
"15956","PDG000000004.1046","PDT000147820.2","PRJNA315192"
"15957","PDG000000004.1046","PDT000147829.2","PRJNA315192"
"15958","PDG000000004.1046","PDT000147832.2","PRJNA315192"
"15959","PDG000000004.1046","PDT000147836.2","PRJNA315192"
"15960","PDG000000004.1046","PDT000147831.2","PRJNA315192"
"15961","PDG000000004.1046","PDT000147833.2","PRJNA315192"
"15962","PDG000000004.1046","PDT000147834.2","PRJNA315192"
"15963","PDG000000004.1046","PDT000147835.2","PRJNA315192"
"15964","PDG000000004.1046","PDT000148406.1","PRJNA322697"
"15965","PDG000000004.1046","PDT000147578.3","PRJNA315192"
"15966","PDG000000004.1046","PDT000148407.1","PRJNA294502"
"15967","PDG000000004.1046","PDT000147844.2","PRJNA218110"
"15968","PDG000000004.1046","PDT000147845.2","PRJNA218110"
"15969","PDG000000004.1046","PDT000148409.1","PRJNA241122"
"15970","PDG000000004.1046","PDT000147914.2","PRJNA218110"
"15971","PDG000000004.1046","PDT000147920.2","PRJNA218110"
"15972","PDG000000004.1046","PDT000147915.2","PRJNA218110"
"15973","PDG000000004.1046","PDT000147916.2","PRJNA218110"
"15974","PDG000000004.1046","PDT000147919.2","PRJNA218110"
"15975","PDG000000004.1046","PDT000147917.2","PRJNA218110"
"15976","PDG000000004.1046","PDT000147918.2","PRJNA218110"
"15977","PDG000000004.1046","PDT000147943.2","PRJNA218110"
"15978","PDG000000004.1046","PDT000147945.2","PRJNA218110"
"15979","PDG000000004.1046","PDT000147946.2","PRJNA218110"
"15980","PDG000000004.1046","PDT000147944.2","PRJNA218110"
"15981","PDG000000004.1046","PDT000147948.2","PRJNA218110"
"15982","PDG000000004.1046","PDT000147949.2","PRJNA218110"
"15983","PDG000000004.1046","PDT000147950.2","PRJNA218110"
"15984","PDG000000004.1046","PDT000147947.2","PRJNA218110"
"15985","PDG000000004.1046","PDT000147952.2","PRJNA218110"
"15986","PDG000000004.1046","PDT000147951.2","PRJNA218110"
"15987","PDG000000004.1046","PDT000147953.2","PRJNA218110"
"15988","PDG000000004.1046","PDT000147955.2","PRJNA218110"
"15989","PDG000000004.1046","PDT000147958.2","PRJNA218110"
"15990","PDG000000004.1046","PDT000147959.2","PRJNA218110"
"15991","PDG000000004.1046","PDT000147960.2","PRJNA218110"
"15992","PDG000000004.1046","PDT000147963.2","PRJNA218110"
"15993","PDG000000004.1046","PDT000147967.2","PRJNA218110"
"15994","PDG000000004.1046","PDT000147969.2","PRJNA218110"
"15995","PDG000000004.1046","PDT000147965.2","PRJNA218110"
"15996","PDG000000004.1046","PDT000147954.2","PRJNA218110"
"15997","PDG000000004.1046","PDT000147968.2","PRJNA218110"
"15998","PDG000000004.1046","PDT000147956.2","PRJNA218110"
"15999","PDG000000004.1046","PDT000147957.2","PRJNA218110"
"16000","PDG000000004.1046","PDT000147970.2","PRJNA218110"
"16001","PDG000000004.1046","PDT000147966.2","PRJNA218110"
"16002","PDG000000004.1046","PDT000147962.2","PRJNA218110"
"16003","PDG000000004.1046","PDT000147961.2","PRJNA218110"
"16004","PDG000000004.1046","PDT000147964.2","PRJNA218110"
"16005","PDG000000004.1046","PDT000147977.2","PRJNA218110"
"16006","PDG000000004.1046","PDT000147978.2","PRJNA218110"
"16007","PDG000000004.1046","PDT000147979.2","PRJNA218110"
"16008","PDG000000004.1046","PDT000147981.2","PRJNA218110"
"16009","PDG000000004.1046","PDT000147976.2","PRJNA218110"
"16010","PDG000000004.1046","PDT000147980.2","PRJNA218110"
"16011","PDG000000004.1046","PDT000147983.2","PRJNA218110"
"16012","PDG000000004.1046","PDT000147982.2","PRJNA218110"
"16013","PDG000000004.1046","PDT000147971.2","PRJNA218110"
"16014","PDG000000004.1046","PDT000147972.2","PRJNA218110"
"16015","PDG000000004.1046","PDT000147973.2","PRJNA218110"
"16016","PDG000000004.1046","PDT000147974.2","PRJNA218110"
"16017","PDG000000004.1046","PDT000147975.2","PRJNA218110"
"16018","PDG000000004.1046","PDT000147986.2","PRJNA218110"
"16019","PDG000000004.1046","PDT000147984.2","PRJNA218110"
"16020","PDG000000004.1046","PDT000147985.2","PRJNA218110"
"16021","PDG000000004.1046","PDT000147988.2","PRJNA218110"
"16022","PDG000000004.1046","PDT000147992.2","PRJNA315192"
"16023","PDG000000004.1046","PDT000147997.2","PRJNA315192"
"16024","PDG000000004.1046","PDT000147994.2","PRJNA315192"
"16025","PDG000000004.1046","PDT000147996.2","PRJNA315192"
"16026","PDG000000004.1046","PDT000147995.2","PRJNA315192"
"16027","PDG000000004.1046","PDT000147993.2","PRJNA315192"
"16028","PDG000000004.1046","PDT000147998.2","PRJNA315192"
"16029","PDG000000004.1046","PDT000148001.2","PRJNA315192"
"16030","PDG000000004.1046","PDT000148008.2","PRJNA315192"
"16031","PDG000000004.1046","PDT000148015.2","PRJNA315192"
"16032","PDG000000004.1046","PDT000148017.2","PRJNA315192"
"16033","PDG000000004.1046","PDT000148018.2","PRJNA315192"
"16034","PDG000000004.1046","PDT000148012.2","PRJNA315192"
"16035","PDG000000004.1046","PDT000148016.2","PRJNA315192"
"16036","PDG000000004.1046","PDT000148010.2","PRJNA315192"
"16037","PDG000000004.1046","PDT000148000.2","PRJNA315192"
"16038","PDG000000004.1046","PDT000148003.2","PRJNA315192"
"16039","PDG000000004.1046","PDT000148002.2","PRJNA315192"
"16040","PDG000000004.1046","PDT000148013.2","PRJNA315192"
"16041","PDG000000004.1046","PDT000148005.2","PRJNA315192"
"16042","PDG000000004.1046","PDT000148014.2","PRJNA315192"
"16043","PDG000000004.1046","PDT000147999.2","PRJNA315192"
"16044","PDG000000004.1046","PDT000148011.2","PRJNA315192"
"16045","PDG000000004.1046","PDT000148020.2","PRJNA315192"
"16046","PDG000000004.1046","PDT000148021.2","PRJNA315192"
"16047","PDG000000004.1046","PDT000148023.2","PRJNA315192"
"16048","PDG000000004.1046","PDT000148027.2","PRJNA315192"
"16049","PDG000000004.1046","PDT000148033.2","PRJNA315192"
"16050","PDG000000004.1046","PDT000148037.2","PRJNA315192"
"16051","PDG000000004.1046","PDT000148028.2","PRJNA315192"
"16052","PDG000000004.1046","PDT000148038.2","PRJNA315192"
"16053","PDG000000004.1046","PDT000148042.2","PRJNA315192"
"16054","PDG000000004.1046","PDT000148046.2","PRJNA315192"
"16055","PDG000000004.1046","PDT000148047.2","PRJNA315192"
"16056","PDG000000004.1046","PDT000148031.2","PRJNA315192"
"16057","PDG000000004.1046","PDT000148025.2","PRJNA315192"
"16058","PDG000000004.1046","PDT000148044.2","PRJNA315192"
"16059","PDG000000004.1046","PDT000148030.2","PRJNA315192"
"16060","PDG000000004.1046","PDT000148040.2","PRJNA315192"
"16061","PDG000000004.1046","PDT000148032.2","PRJNA315192"
"16062","PDG000000004.1046","PDT000148024.2","PRJNA315192"
"16063","PDG000000004.1046","PDT000148043.2","PRJNA315192"
"16064","PDG000000004.1046","PDT000148041.2","PRJNA315192"
"16065","PDG000000004.1046","PDT000148036.2","PRJNA315192"
"16066","PDG000000004.1046","PDT000148035.2","PRJNA315192"
"16067","PDG000000004.1046","PDT000148029.2","PRJNA315192"
"16068","PDG000000004.1046","PDT000148034.2","PRJNA315192"
"16069","PDG000000004.1046","PDT000148039.2","PRJNA315192"
"16070","PDG000000004.1046","PDT000148026.2","PRJNA315192"
"16071","PDG000000004.1046","PDT000148048.2","PRJNA315192"
"16072","PDG000000004.1046","PDT000148073.2","PRJNA315192"
"16073","PDG000000004.1046","PDT000148072.2","PRJNA315192"
"16074","PDG000000004.1046","PDT000148074.2","PRJNA315192"
"16075","PDG000000004.1046","PDT000148067.2","PRJNA315192"
"16076","PDG000000004.1046","PDT000148058.2","PRJNA315192"
"16077","PDG000000004.1046","PDT000148053.2","PRJNA315192"
"16078","PDG000000004.1046","PDT000148070.2","PRJNA315192"
"16079","PDG000000004.1046","PDT000148068.2","PRJNA315192"
"16080","PDG000000004.1046","PDT000148056.2","PRJNA315192"
"16081","PDG000000004.1046","PDT000148061.2","PRJNA315192"
"16082","PDG000000004.1046","PDT000148062.2","PRJNA315192"
"16083","PDG000000004.1046","PDT000148065.2","PRJNA315192"
"16084","PDG000000004.1046","PDT000148057.2","PRJNA315192"
"16085","PDG000000004.1046","PDT000148066.2","PRJNA315192"
"16086","PDG000000004.1046","PDT000148051.2","PRJNA315192"
"16087","PDG000000004.1046","PDT000148054.2","PRJNA315192"
"16088","PDG000000004.1046","PDT000148059.2","PRJNA315192"
"16089","PDG000000004.1046","PDT000148060.2","PRJNA315192"
"16090","PDG000000004.1046","PDT000148063.2","PRJNA315192"
"16091","PDG000000004.1046","PDT000148064.2","PRJNA315192"
"16092","PDG000000004.1046","PDT000148049.2","PRJNA315192"
"16093","PDG000000004.1046","PDT000148075.2","PRJNA315192"
"16094","PDG000000004.1046","PDT000148055.2","PRJNA315192"
"16095","PDG000000004.1046","PDT000148069.2","PRJNA315192"
"16096","PDG000000004.1046","PDT000148071.2","PRJNA315192"
"16097","PDG000000004.1046","PDT000148077.2","PRJNA315192"
"16098","PDG000000004.1046","PDT000148078.2","PRJNA315192"
"16099","PDG000000004.1046","PDT000148080.2","PRJNA315192"
"16100","PDG000000004.1046","PDT000148083.2","PRJNA315192"
"16101","PDG000000004.1046","PDT000148085.2","PRJNA315192"
"16102","PDG000000004.1046","PDT000148088.2","PRJNA315192"
"16103","PDG000000004.1046","PDT000148089.2","PRJNA315192"
"16104","PDG000000004.1046","PDT000148094.2","PRJNA315192"
"16105","PDG000000004.1046","PDT000148098.2","PRJNA315192"
"16106","PDG000000004.1046","PDT000148101.2","PRJNA315192"
"16107","PDG000000004.1046","PDT000148102.2","PRJNA315192"
"16108","PDG000000004.1046","PDT000148081.2","PRJNA315192"
"16109","PDG000000004.1046","PDT000148082.2","PRJNA315192"
"16110","PDG000000004.1046","PDT000148086.2","PRJNA315192"
"16111","PDG000000004.1046","PDT000148100.2","PRJNA315192"
"16112","PDG000000004.1046","PDT000148087.2","PRJNA315192"
"16113","PDG000000004.1046","PDT000148079.2","PRJNA315192"
"16114","PDG000000004.1046","PDT000148091.2","PRJNA315192"
"16115","PDG000000004.1046","PDT000148095.2","PRJNA315192"
"16116","PDG000000004.1046","PDT000148092.2","PRJNA315192"
"16117","PDG000000004.1046","PDT000148097.2","PRJNA315192"
"16118","PDG000000004.1046","PDT000148090.2","PRJNA315192"
"16119","PDG000000004.1046","PDT000148096.2","PRJNA315192"
"16120","PDG000000004.1046","PDT000148093.2","PRJNA315192"
"16121","PDG000000004.1046","PDT000148108.2","PRJNA315192"
"16122","PDG000000004.1046","PDT000148111.2","PRJNA315192"
"16123","PDG000000004.1046","PDT000148113.2","PRJNA315192"
"16124","PDG000000004.1046","PDT000148115.2","PRJNA315192"
"16125","PDG000000004.1046","PDT000148106.2","PRJNA315192"
"16126","PDG000000004.1046","PDT000148114.2","PRJNA315192"
"16127","PDG000000004.1046","PDT000148104.2","PRJNA315192"
"16128","PDG000000004.1046","PDT000148103.2","PRJNA315192"
"16129","PDG000000004.1046","PDT000148105.2","PRJNA315192"
"16130","PDG000000004.1046","PDT000148109.2","PRJNA315192"
"16131","PDG000000004.1046","PDT000148110.2","PRJNA315192"
"16132","PDG000000004.1046","PDT000148112.2","PRJNA315192"
"16133","PDG000000004.1046","PDT000148107.2","PRJNA315192"
"16134","PDG000000004.1046","PDT000148571.1","PRJNA301656"
"16135","PDG000000004.1046","PDT000148572.1","PRJNA339977"
"16136","PDG000000004.1046","PDT000148117.2","PRJNA315192"
"16137","PDG000000004.1046","PDT000148121.2","PRJNA315192"
"16138","PDG000000004.1046","PDT000148118.2","PRJNA315192"
"16139","PDG000000004.1046","PDT000148120.2","PRJNA315192"
"16140","PDG000000004.1046","PDT000148116.2","PRJNA315192"
"16141","PDG000000004.1046","PDT000148124.2","PRJNA315192"
"16142","PDG000000004.1046","PDT000148125.2","PRJNA315192"
"16143","PDG000000004.1046","PDT000148133.2","PRJNA315192"
"16144","PDG000000004.1046","PDT000148134.2","PRJNA315192"
"16145","PDG000000004.1046","PDT000148137.2","PRJNA315192"
"16146","PDG000000004.1046","PDT000148138.2","PRJNA315192"
"16147","PDG000000004.1046","PDT000148140.2","PRJNA315192"
"16148","PDG000000004.1046","PDT000148122.2","PRJNA315192"
"16149","PDG000000004.1046","PDT000148123.2","PRJNA315192"
"16150","PDG000000004.1046","PDT000148130.2","PRJNA315192"
"16151","PDG000000004.1046","PDT000148145.2","PRJNA315192"
"16152","PDG000000004.1046","PDT000148147.2","PRJNA315192"
"16153","PDG000000004.1046","PDT000148131.2","PRJNA315192"
"16154","PDG000000004.1046","PDT000148146.2","PRJNA315192"
"16155","PDG000000004.1046","PDT000148132.2","PRJNA315192"
"16156","PDG000000004.1046","PDT000148126.2","PRJNA315192"
"16157","PDG000000004.1046","PDT000148128.2","PRJNA315192"
"16158","PDG000000004.1046","PDT000148139.2","PRJNA315192"
"16159","PDG000000004.1046","PDT000148127.2","PRJNA315192"
"16160","PDG000000004.1046","PDT000148129.2","PRJNA315192"
"16161","PDG000000004.1046","PDT000148142.2","PRJNA315192"
"16162","PDG000000004.1046","PDT000148143.2","PRJNA315192"
"16163","PDG000000004.1046","PDT000148144.2","PRJNA315192"
"16164","PDG000000004.1046","PDT000148136.2","PRJNA315192"
"16165","PDG000000004.1046","PDT000148135.2","PRJNA315192"
"16166","PDG000000004.1046","PDT000148149.2","PRJNA315192"
"16167","PDG000000004.1046","PDT000148155.2","PRJNA315192"
"16168","PDG000000004.1046","PDT000148157.2","PRJNA315192"
"16169","PDG000000004.1046","PDT000148158.2","PRJNA315192"
"16170","PDG000000004.1046","PDT000148160.2","PRJNA315192"
"16171","PDG000000004.1046","PDT000148161.2","PRJNA315192"
"16172","PDG000000004.1046","PDT000148162.2","PRJNA315192"
"16173","PDG000000004.1046","PDT000148165.2","PRJNA315192"
"16174","PDG000000004.1046","PDT000148168.2","PRJNA315192"
"16175","PDG000000004.1046","PDT000148170.2","PRJNA315192"
"16176","PDG000000004.1046","PDT000148173.2","PRJNA315192"
"16177","PDG000000004.1046","PDT000148175.2","PRJNA315192"
"16178","PDG000000004.1046","PDT000148163.2","PRJNA315192"
"16179","PDG000000004.1046","PDT000148169.2","PRJNA315192"
"16180","PDG000000004.1046","PDT000148166.2","PRJNA315192"
"16181","PDG000000004.1046","PDT000148153.2","PRJNA315192"
"16182","PDG000000004.1046","PDT000148152.2","PRJNA315192"
"16183","PDG000000004.1046","PDT000148154.2","PRJNA315192"
"16184","PDG000000004.1046","PDT000148172.2","PRJNA315192"
"16185","PDG000000004.1046","PDT000148150.2","PRJNA315192"
"16186","PDG000000004.1046","PDT000148151.2","PRJNA315192"
"16187","PDG000000004.1046","PDT000148159.2","PRJNA315192"
"16188","PDG000000004.1046","PDT000148174.2","PRJNA315192"
"16189","PDG000000004.1046","PDT000148148.2","PRJNA315192"
"16190","PDG000000004.1046","PDT000148156.2","PRJNA315192"
"16191","PDG000000004.1046","PDT000148164.2","PRJNA315192"
"16192","PDG000000004.1046","PDT000148167.2","PRJNA315192"
"16193","PDG000000004.1046","PDT000148171.2","PRJNA315192"
"16194","PDG000000004.1046","PDT000148177.2","PRJNA315192"
"16195","PDG000000004.1046","PDT000148180.2","PRJNA315192"
"16196","PDG000000004.1046","PDT000148181.2","PRJNA315192"
"16197","PDG000000004.1046","PDT000148183.2","PRJNA315192"
"16198","PDG000000004.1046","PDT000148191.2","PRJNA315192"
"16199","PDG000000004.1046","PDT000148176.2","PRJNA315192"
"16200","PDG000000004.1046","PDT000148189.2","PRJNA315192"
"16201","PDG000000004.1046","PDT000148192.2","PRJNA315192"
"16202","PDG000000004.1046","PDT000148197.2","PRJNA315192"
"16203","PDG000000004.1046","PDT000148196.2","PRJNA315192"
"16204","PDG000000004.1046","PDT000148184.2","PRJNA315192"
"16205","PDG000000004.1046","PDT000148185.2","PRJNA315192"
"16206","PDG000000004.1046","PDT000148187.2","PRJNA315192"
"16207","PDG000000004.1046","PDT000148198.2","PRJNA315192"
"16208","PDG000000004.1046","PDT000148190.2","PRJNA315192"
"16209","PDG000000004.1046","PDT000148188.2","PRJNA315192"
"16210","PDG000000004.1046","PDT000148195.2","PRJNA315192"
"16211","PDG000000004.1046","PDT000148193.2","PRJNA315192"
"16212","PDG000000004.1046","PDT000148199.2","PRJNA315192"
"16213","PDG000000004.1046","PDT000148186.2","PRJNA315192"
"16214","PDG000000004.1046","PDT000148194.2","PRJNA315192"
"16215","PDG000000004.1046","PDT000148214.2","PRJNA315192"
"16216","PDG000000004.1046","PDT000148215.2","PRJNA315192"
"16217","PDG000000004.1046","PDT000148210.2","PRJNA315192"
"16218","PDG000000004.1046","PDT000148204.2","PRJNA315192"
"16219","PDG000000004.1046","PDT000148206.2","PRJNA315192"
"16220","PDG000000004.1046","PDT000148201.2","PRJNA315192"
"16221","PDG000000004.1046","PDT000148203.2","PRJNA315192"
"16222","PDG000000004.1046","PDT000148207.2","PRJNA315192"
"16223","PDG000000004.1046","PDT000148202.2","PRJNA315192"
"16224","PDG000000004.1046","PDT000148205.2","PRJNA315192"
"16225","PDG000000004.1046","PDT000148208.2","PRJNA315192"
"16226","PDG000000004.1046","PDT000148221.2","PRJNA315192"
"16227","PDG000000004.1046","PDT000148223.2","PRJNA315192"
"16228","PDG000000004.1046","PDT000148224.2","PRJNA315192"
"16229","PDG000000004.1046","PDT000148225.2","PRJNA315192"
"16230","PDG000000004.1046","PDT000148230.2","PRJNA315192"
"16231","PDG000000004.1046","PDT000148222.2","PRJNA315192"
"16232","PDG000000004.1046","PDT000148227.2","PRJNA315192"
"16233","PDG000000004.1046","PDT000148228.2","PRJNA315192"
"16234","PDG000000004.1046","PDT000148226.2","PRJNA315192"
"16235","PDG000000004.1046","PDT000148231.2","PRJNA315192"
"16236","PDG000000004.1046","PDT000148235.2","PRJNA315192"
"16237","PDG000000004.1046","PDT000148233.2","PRJNA315192"
"16238","PDG000000004.1046","PDT000148247.2","PRJNA315192"
"16239","PDG000000004.1046","PDT000148234.2","PRJNA315192"
"16240","PDG000000004.1046","PDT000148248.2","PRJNA315192"
"16241","PDG000000004.1046","PDT000148252.2","PRJNA315192"
"16242","PDG000000004.1046","PDT000148256.2","PRJNA315192"
"16243","PDG000000004.1046","PDT000148258.2","PRJNA315192"
"16244","PDG000000004.1046","PDT000148263.2","PRJNA315192"
"16245","PDG000000004.1046","PDT000148262.2","PRJNA315192"
"16246","PDG000000004.1046","PDT000148250.2","PRJNA315192"
"16247","PDG000000004.1046","PDT000148259.2","PRJNA315192"
"16248","PDG000000004.1046","PDT000148254.2","PRJNA315192"
"16249","PDG000000004.1046","PDT000148261.2","PRJNA315192"
"16250","PDG000000004.1046","PDT000148249.2","PRJNA315192"
"16251","PDG000000004.1046","PDT000148251.2","PRJNA315192"
"16252","PDG000000004.1046","PDT000148255.2","PRJNA315192"
"16253","PDG000000004.1046","PDT000148257.2","PRJNA315192"
"16254","PDG000000004.1046","PDT000148253.2","PRJNA315192"
"16255","PDG000000004.1046","PDT000148260.2","PRJNA315192"
"16256","PDG000000004.1046","PDT000148266.2","PRJNA315192"
"16257","PDG000000004.1046","PDT000148279.2","PRJNA315192"
"16258","PDG000000004.1046","PDT000148268.2","PRJNA315192"
"16259","PDG000000004.1046","PDT000148267.2","PRJNA315192"
"16260","PDG000000004.1046","PDT000148277.2","PRJNA315192"
"16261","PDG000000004.1046","PDT000148264.2","PRJNA315192"
"16262","PDG000000004.1046","PDT000148276.2","PRJNA315192"
"16263","PDG000000004.1046","PDT000148274.2","PRJNA315192"
"16264","PDG000000004.1046","PDT000148278.2","PRJNA315192"
"16265","PDG000000004.1046","PDT000148272.2","PRJNA315192"
"16266","PDG000000004.1046","PDT000148270.2","PRJNA315192"
"16267","PDG000000004.1046","PDT000148273.2","PRJNA315192"
"16268","PDG000000004.1046","PDT000148265.2","PRJNA315192"
"16269","PDG000000004.1046","PDT000148269.2","PRJNA315192"
"16270","PDG000000004.1046","PDT000148281.2","PRJNA315192"
"16271","PDG000000004.1046","PDT000148282.2","PRJNA315192"
"16272","PDG000000004.1046","PDT000148283.2","PRJNA315192"
"16273","PDG000000004.1046","PDT000148291.2","PRJNA315192"
"16274","PDG000000004.1046","PDT000148297.2","PRJNA315192"
"16275","PDG000000004.1046","PDT000148295.2","PRJNA315192"
"16276","PDG000000004.1046","PDT000148284.2","PRJNA315192"
"16277","PDG000000004.1046","PDT000148299.2","PRJNA315192"
"16278","PDG000000004.1046","PDT000148289.2","PRJNA315192"
"16279","PDG000000004.1046","PDT000148292.2","PRJNA315192"
"16280","PDG000000004.1046","PDT000148285.2","PRJNA315192"
"16281","PDG000000004.1046","PDT000148288.2","PRJNA315192"
"16282","PDG000000004.1046","PDT000148290.2","PRJNA315192"
"16283","PDG000000004.1046","PDT000148287.2","PRJNA315192"
"16284","PDG000000004.1046","PDT000148293.2","PRJNA315192"
"16285","PDG000000004.1046","PDT000148286.2","PRJNA315192"
"16286","PDG000000004.1046","PDT000148280.2","PRJNA315192"
"16287","PDG000000004.1046","PDT000148294.2","PRJNA315192"
"16288","PDG000000004.1046","PDT000148298.2","PRJNA315192"
"16289","PDG000000004.1046","PDT000148300.2","PRJNA315192"
"16290","PDG000000004.1046","PDT000148310.2","PRJNA284275"
"16291","PDG000000004.1046","PDT000148400.2","PRJNA315192"
"16292","PDG000000004.1046","PDT000148403.2","PRJNA315192"
"16293","PDG000000004.1046","PDT000148493.2","PRJNA218110"
"16294","PDG000000004.1046","PDT000148494.2","PRJNA218110"
"16295","PDG000000004.1046","PDT000148495.2","PRJNA218110"
"16296","PDG000000004.1046","PDT000148497.2","PRJNA218110"
"16297","PDG000000004.1046","PDT000148496.2","PRJNA218110"
"16298","PDG000000004.1046","PDT000148492.2","PRJNA218110"
"16299","PDG000000004.1046","PDT000148499.2","PRJNA218110"
"16300","PDG000000004.1046","PDT000148500.2","PRJNA218110"
"16301","PDG000000004.1046","PDT000148504.2","PRJNA218110"
"16302","PDG000000004.1046","PDT000148498.2","PRJNA218110"
"16303","PDG000000004.1046","PDT000148501.2","PRJNA218110"
"16304","PDG000000004.1046","PDT000148502.2","PRJNA218110"
"16305","PDG000000004.1046","PDT000148503.2","PRJNA218110"
"16306","PDG000000004.1046","PDT000148505.2","PRJNA218110"
"16307","PDG000000004.1046","PDT000148506.2","PRJNA218110"
"16308","PDG000000004.1046","PDT000148509.2","PRJNA218110"
"16309","PDG000000004.1046","PDT000148510.2","PRJNA218110"
"16310","PDG000000004.1046","PDT000148512.2","PRJNA218110"
"16311","PDG000000004.1046","PDT000148515.2","PRJNA218110"
