Gain,Loss,Genotype
5,0,aadA8
5,0,blaKPC-4
5,0,blaOXA-244
5,0,blaSHV
5,0,blaSHV-2
5,0,blaTEM-176
5,0,blaTEM-19
5,0,dfrB1
5,0,fosA5
5,0,vat
6,0,ant(3'')-Ia
6,0,blaTEM-12
6,0,blaTEM-33
6,0,blaTEM-35
6,0,dfrB4
6,0,ere(B)
6,0,lnu(C)
7,0,ant
7,0,blaIMP-4
7,0,qnrD1
8,0,aph(3')-VI
8,0,blaCTX-M-24
8,0,blaHER
8,0,blaOXA-181
8,0,qnrB2
9,0,aph(3')-I
9,0,blaNDM-7
9,0,blaTEM-190
9,0,dfrA23
10,0,aac(2')-IIa
10,0,blaCTX-M-123
10,0,dfrA25
11,0,aadA4
11,0,blaTEM-57
11,0,fosA4
12,0,aph(3')
12,0,blaSHV-1
12,0,fos
12,0,qnrB1
13,0,aadA15
13,0,blaCTX-M-32
13,0,blaTEM-40
13,0,blaTEM-52
13,0,erm(T)
14,0,aac(6')-Il
15,0,aac(6')-Ib'
15,0,abc-f
15,0,blaCMY-6
15,0,cmlA6
15,0,qnrB4
15,0,rmtC
16,0,aph(3')-II
16,0,blaCMY-4
16,0,cmlA
17,0,erm(42)
17,0,qnrB6
18,0,aadA13
18,0,mph_3
18,0,qepA1
18,0,tet(X)
19,0,dfrA19
19,0,qnrA1
20,0,dfrA16
20,0,lnu(B)
21,0,aadA25
21,0,arr
21,0,blaTEM-30
22,0,blaNDM-9
23,0,blaCTX-M-2
24,0,armA
24,0,blaLAP-2
25,0,blaOXA-48
25,0,blaTEM-116
26,0,ere(A)
27,0,dfrA27
27,0,mph(E)
28,0,aadA6
28,0,blaOXA-9
28,0,blaTEM-135
28,0,dfrA
28,0,msr(E)
29,0,blaCTX-M-3
29,0,blaCTX-M-8
32,0,arr-2
33,0,oqxB2
34,0,aadA24
34,0,aadA7
34,0,blaOXA-10
34,0,qnrS
35,0,blaDHA-1
36,0,blaKPC-3
38,0,aadA12
40,0,aac(6')-Ib3
42,0,blaCARB-2
42,0,lnu(G)
44,0,blaKPC-2
44,0,clpK
44,0,cmlA5
45,0,blaCTX-M
46,0,tet
50,0,qnrS2
52,0,blaHER-3
62,0,oqxA2
64,0,blaCTX-M-65
67,0,blaSHV-12
67,0,catA2
83,0,aph(6)-Ic
87,0,mef(B)
87,0,mph(B)
89,0,aadA22
100,0,lnu(F)
118,0,mcr-1
123,0,aph(3'')
164,0,aph(6)-I
168,0,blaCTX-M-1
205,0,aph(3')-IIa
214,0,bla
219,0,tet(C)
