"","Genotype","Gain","Loss","Isolate_Count","rate","net_gain","net_loss","cluster","category"
"89","blaCMY-16",3,0,3,1,3,0,"1","TBD"
"90","blaCMY-2",437,7,571,1.32790697674419,580.295348837209,9.2953488372093,"4","GC"
"91","blaCMY-23",1,0,1,1,1,0,"1","TBD"
"92","blaCMY-24",1,0,1,1,1,0,"1","TBD"
"93","blaCMY-33",1,0,1,1,1,0,"1","TBD"
"94","blaCMY-4",16,0,16,1,16,0,"2","GC"
"95","blaCMY-42",27,2,47,1.88,50.76,3.76,"2","GC"
"96","blaCMY-44",1,0,1,1,1,0,"1","TBD"
"97","blaCMY-48",1,0,2,2,2,0,"1","TBD"
"98","blaCMY-58",1,0,1,1,1,0,"1","TBD"
"99","blaCMY-59",1,0,1,1,1,0,"1","TBD"
"100","blaCMY-6",15,0,18,1.2,18,0,"2","GC"
"101","blaCMY-65",1,0,1,1,1,0,"1","TBD"
"102","blaCMY-7",2,0,2,1,2,0,"1","TBD"
"103","blaCMY-75",1,0,1,1,1,0,"1","TBD"
"104","blaCMY-82",1,0,1,1,1,0,"1","TBD"
"105","blaCTX-M",45,0,45,1,45,0,"2","GC"
"106","blaCTX-M-1",168,0,193,1.14880952380952,193,0,"4","GC"
"107","blaCTX-M-104",1,0,1,1,1,0,"1","TBD"
"108","blaCTX-M-115",2,0,3,1.5,3,0,"1","TBD"
"109","blaCTX-M-116",1,0,1,1,1,0,"1","TBD"
"110","blaCTX-M-123",10,0,11,1.1,11,0,"2","GC"
"111","blaCTX-M-125",3,0,3,1,3,0,"1","TBD"
"112","blaCTX-M-132",1,0,1,1,1,0,"1","TBD"
"113","blaCTX-M-134",1,0,1,1,1,0,"1","TBD"
"114","blaCTX-M-14",291,3,370,1.28472222222222,373.854166666667,3.85416666666667,"4","GC"
"115","blaCTX-M-15",361,72,927,3.2076124567474,1157.94809688581,230.948096885813,"3","SS"
"116","blaCTX-M-166",1,0,1,1,1,0,"1","TBD"
"117","blaCTX-M-174",2,0,2,1,2,0,"1","TBD"
"118","blaCTX-M-179",1,0,1,1,1,0,"1","TBD"
"119","blaCTX-M-182",1,0,1,1,1,0,"1","TBD"
"120","blaCTX-M-2",23,0,24,1.04347826086957,24,0,"2","GC"
"121","blaCTX-M-24",8,0,12,1.5,12,0,"2","GC"
"122","blaCTX-M-27",76,8,162,2.38235294117647,181.058823529412,19.0588235294118,"4","GC"
"123","blaCTX-M-3",29,0,33,1.13793103448276,33,0,"2","GC"
"124","blaCTX-M-32",13,0,14,1.07692307692308,14,0,"2","GC"
"125","blaCTX-M-55",241,1,304,1.26666666666667,305.266666666667,1.26666666666667,"4","GC"
"126","blaCTX-M-64",4,0,4,1,4,0,"2","GC"
"127","blaCTX-M-65",64,0,78,1.21875,78,0,"4","GC"
"128","blaCTX-M-8",29,0,31,1.06896551724138,31,0,"2","GC"
"129","blaCTX-M-9",2,0,2,1,2,0,"1","TBD"
"130","blaDHA",2,0,2,1,2,0,"1","TBD"
"131","blaDHA-1",35,0,47,1.34285714285714,47,0,"2","GC"
"132","blaDHA-20",1,0,1,1,1,0,"1","TBD"
"133","blaDHA-7",1,0,1,1,1,0,"1","TBD"
"134","blaEC",23,109,28244,-328.418604651163,-7553.62790697674,-35797.6279069767,"3","SS"
"135","blaEC-15",2,0,2,1,2,0,"1","TBD"
"136","blaEC-5",10,17,649,-92.7142857142857,-927.142857142857,-1576.14285714286,"3","SS"
"137","blaFOX",1,0,1,1,1,0,"1","TBD"
"138","blaFOX-5",4,0,4,1,4,0,"2","GC"
"139","blaGES",1,0,1,1,1,0,"1","TBD"
"140","blaGES-5",4,0,4,1,4,0,"2","GC"
"141","blaGIL",1,0,1,1,1,0,"1","TBD"
"142","blaHER",8,0,8,1,8,0,"2","GC"
"143","blaHER-3",52,0,55,1.05769230769231,55,0,"2","GC"
"144","blaI",2,0,2,1,2,0,"1","TBD"
"145","blaIMI",1,0,1,1,1,0,"1","TBD"
"146","blaIMP-1",3,0,3,1,3,0,"1","TBD"
"147","blaIMP-14",1,0,1,1,1,0,"1","TBD"
"148","blaIMP-26",1,0,1,1,1,0,"1","TBD"
"149","blaIMP-27",3,0,3,1,3,0,"1","TBD"
"150","blaIMP-4",7,0,7,1,7,0,"2","GC"
"151","blaIMP-6",1,0,1,1,1,0,"1","TBD"
"152","blaKPC",1,0,1,1,1,0,"1","TBD"
"153","blaKPC-18",1,0,1,1,1,0,"1","TBD"
"154","blaKPC-2",44,0,53,1.20454545454545,53,0,"2","GC"
"155","blaKPC-3",36,0,39,1.08333333333333,39,0,"2","GC"
"156","blaKPC-4",5,0,5,1,5,0,"2","GC"
"157","blaLAP",2,0,2,1,2,0,"1","TBD"
"158","blaLAP-1",1,0,1,1,1,0,"1","TBD"
"159","blaLAP-2",24,0,24,1,24,0,"2","GC"
"160","blaLAT",1,0,1,1,1,0,"1","TBD"
"161","blaLEN-13",1,0,1,1,1,0,"1","TBD"
"162","blaMIR-12",1,0,1,1,1,0,"1","TBD"
"163","blaNDM",2,0,2,1,2,0,"1","TBD"
"164","blaNDM-1",49,1,63,1.3125,64.3125,1.3125,"4","GC"
"165","blaNDM-21",1,0,1,1,1,0,"1","TBD"
"166","blaNDM-4",4,0,4,1,4,0,"2","GC"
"167","blaNDM-5",67,8,130,2.20338983050847,147.627118644068,17.6271186440678,"4","GC"
"168","blaNDM-6",1,0,1,1,1,0,"1","TBD"
"169","blaNDM-7",9,0,10,1.11111111111111,10,0,"2","GC"
"170","blaNDM-9",22,0,31,1.40909090909091,31,0,"2","GC"
"171","blaOCH",1,0,2,2,2,0,"1","TBD"
"172","blaOKP",1,0,1,1,1,0,"1","TBD"
"173","blaOXA",51,1,63,1.26,64.26,1.26,"4","GC"
"174","blaOXA-1",325,116,1312,6.27751196172249,2040.19138755981,728.191387559809,"3","SS"
"175","blaOXA-10",34,0,35,1.02941176470588,35,0,"2","GC"
"176","blaOXA-129",1,0,1,1,1,0,"1","TBD"
"177","blaOXA-163",1,0,1,1,1,0,"1","TBD"
"178","blaOXA-181",8,0,16,2,16,0,"2","GC"
"179","blaOXA-2",16,1,35,2.33333333333333,37.3333333333333,2.33333333333333,"2","GC"
"180","blaOXA-232",3,0,3,1,3,0,"1","TBD"
"181","blaOXA-244",5,0,6,1.2,6,0,"2","GC"
"182","blaOXA-364",1,0,1,1,1,0,"1","TBD"
"183","blaOXA-4",2,0,2,1,2,0,"1","TBD"
"184","blaOXA-48",25,0,27,1.08,27,0,"2","GC"
"185","blaOXA-9",28,0,28,1,28,0,"2","GC"
"186","blaOXY",1,0,3,3,3,0,"1","TBD"
"187","blaPC1",1,0,1,1,1,0,"1","TBD"
"188","blaPER-2",1,0,1,1,1,0,"1","TBD"
"189","blaPSE",1,0,1,1,1,0,"1","TBD"
"190","blaR1",1,0,1,1,1,0,"1","TBD"
"191","blaROB",1,0,1,1,1,0,"1","TBD"
"192","blaSED",1,0,2,2,2,0,"1","TBD"
"193","blaSFO-1",1,0,1,1,1,0,"1","TBD"
"194","blaSHV",5,0,5,1,5,0,"2","GC"
"195","blaSHV-1",12,0,16,1.33333333333333,16,0,"2","GC"
"196","blaSHV-11",1,0,2,2,2,0,"1","TBD"
"197","blaSHV-12",67,0,72,1.07462686567164,72,0,"4","GC"
"198","blaSHV-2",5,0,5,1,5,0,"2","GC"
"199","blaSHV-26",1,0,1,1,1,0,"1","TBD"
"200","blaSHV-27",1,0,1,1,1,0,"1","TBD"
"201","blaSHV-2A",3,0,3,1,3,0,"1","TBD"
"202","blaSHV-33",1,0,1,1,1,0,"1","TBD"
"203","blaSHV-5",2,0,2,1,2,0,"1","TBD"
"204","blaSHV-7",3,0,3,1,3,0,"1","TBD"
"205","blaSRT",1,0,3,3,3,0,"1","TBD"
"206","blaTEM",214,6,250,1.20192307692308,257.211538461538,7.21153846153846,"4","GC"
"207","blaTEM-1",2158,515,5679,3.45648204503956,7459.08825319537,1780.08825319537,"3","SS"
"208","blaTEM-10",3,0,3,1,3,0,"1","TBD"
"209","blaTEM-105",1,0,1,1,1,0,"1","TBD"
"210","blaTEM-116",25,0,25,1,25,0,"2","GC"
"211","blaTEM-12",6,0,6,1,6,0,"2","GC"
"212","blaTEM-135",28,0,30,1.07142857142857,30,0,"2","GC"
"213","blaTEM-148",1,0,1,1,1,0,"1","TBD"
"214","blaTEM-154",1,0,1,1,1,0,"1","TBD"
"215","blaTEM-156",1,0,1,1,1,0,"1","TBD"
"216","blaTEM-166",1,0,1,1,1,0,"1","TBD"
"217","blaTEM-169",3,0,3,1,3,0,"1","TBD"
"218","blaTEM-176",5,0,5,1,5,0,"2","GC"
"219","blaTEM-181",2,0,2,1,2,0,"1","TBD"
"220","blaTEM-19",5,0,5,1,5,0,"2","GC"
"221","blaTEM-190",9,0,9,1,9,0,"2","GC"
"222","blaTEM-20",1,0,1,1,1,0,"1","TBD"
"223","blaTEM-207",1,0,1,1,1,0,"1","TBD"
"224","blaTEM-208",1,0,1,1,1,0,"1","TBD"
"225","blaTEM-210",2,0,2,1,2,0,"1","TBD"
"226","blaTEM-215",3,0,3,1,3,0,"1","TBD"
"227","blaTEM-26",1,0,1,1,1,0,"1","TBD"
"228","blaTEM-3",1,0,1,1,1,0,"1","TBD"
"229","blaTEM-30",21,0,21,1,21,0,"2","GC"
"230","blaTEM-32",2,0,2,1,2,0,"1","TBD"
"231","blaTEM-33",6,0,6,1,6,0,"2","GC"
"232","blaTEM-34",2,0,2,1,2,0,"1","TBD"
"233","blaTEM-35",6,0,6,1,6,0,"2","GC"
"234","blaTEM-40",13,0,15,1.15384615384615,15,0,"2","GC"
"235","blaTEM-52",13,0,13,1,13,0,"2","GC"
"236","blaTEM-54",1,0,1,1,1,0,"1","TBD"
"237","blaTEM-57",11,0,12,1.09090909090909,12,0,"2","GC"
"238","blaTEM-8",1,0,1,1,1,0,"1","TBD"
"239","blaTEM-84",2,0,2,1,2,0,"1","TBD"
"240","blaTEM-9",1,0,1,1,1,0,"1","TBD"
"241","blaVEB-1",1,0,1,1,1,0,"1","TBD"
"242","blaVEB-17",1,0,1,1,1,0,"1","TBD"
"243","blaVEB-5",1,0,1,1,1,0,"1","TBD"
"244","blaVIM-1",3,0,3,1,3,0,"1","TBD"
"245","blaVIM-29",1,0,1,1,1,0,"1","TBD"
"246","blaVIM-4",1,0,1,1,1,0,"1","TBD"
"247","blaZ",1,0,1,1,1,0,"1","TBD"
"248","ble",258,11,398,1.61133603238866,415.724696356275,17.7246963562753,"4","GC"
"249","ble-Sh",1,0,2,2,2,0,"1","TBD"
"250","bleO",295,4,420,1.44329896907216,425.773195876289,5.77319587628866,"4","GC"
"251","catA",8,1,22,3.14285714285714,25.1428571428571,3.14285714285714,"2","GC"
"252","catA1",579,91,1540,3.15573770491803,1827.17213114754,287.172131147541,"3","SS"
"253","catA2",67,0,71,1.05970149253731,71,0,"4","GC"
"254","catA3",2,0,2,1,2,0,"1","TBD"
"255","catB",3,0,4,1.33333333333333,4,0,"2","GC"
"256","catB1",1,0,1,1,1,0,"1","TBD"
"257","catB11",2,0,2,1,2,0,"1","TBD"
"258","catB2",4,0,4,1,4,0,"2","GC"
"259","catB3",214,5,277,1.32535885167464,283.626794258373,6.62679425837321,"4","GC"
"260","catB8",1,0,1,1,1,0,"1","TBD"
"261","cfr",2,0,2,1,2,0,"1","TBD"
"262","clpK",44,0,46,1.04545454545455,46,0,"2","GC"
"263","cmlA",16,0,16,1,16,0,"2","GC"
"264","cmlA1",468,9,670,1.45969498910675,683.137254901961,13.1372549019608,"3","SS"
"265","cmlA4",1,0,1,1,1,0,"1","TBD"
"266","cmlA5",44,0,44,1,44,0,"2","GC"
"267","cmlA6",15,0,19,1.26666666666667,19,0,"2","GC"
"268","cphA",1,0,2,2,2,0,"1","TBD"
"269","cphA1",1,0,1,1,1,0,"1","TBD"
"270","dfr7",2,0,9,4.5,9,0,"2","GC"
"271","dfrA",28,0,28,1,28,0,"2","GC"
"272","dfrA1",733,45,2079,3.0218023255814,2214.98110465116,135.981104651163,"3","SS"
"273","dfrA10",3,0,3,1,3,0,"1","TBD"
"274","dfrA12",662,22,1037,1.6203125,1072.646875,35.646875,"3","SS"
"275","dfrA14",572,16,855,1.53776978417266,879.604316546763,24.6043165467626,"3","SS"
"276","dfrA15",42,1,54,1.31707317073171,55.3170731707317,1.31707317073171,"2","GC"
"277","dfrA16",20,0,20,1,20,0,"2","GC"
"278","dfrA17",531,129,1486,3.69651741293532,1962.85074626866,476.850746268657,"3","SS"
"279","dfrA19",19,0,19,1,19,0,"2","GC"
"280","dfrA21",2,0,2,1,2,0,"1","TBD"
"281","dfrA22",1,0,1,1,1,0,"1","TBD"
"282","dfrA23",9,0,9,1,9,0,"2","GC"
"283","dfrA24",3,0,3,1,3,0,"1","TBD"
"284","dfrA25",10,0,10,1,10,0,"2","GC"
"285","dfrA26",1,0,1,1,1,0,"1","TBD"
"286","dfrA27",27,0,31,1.14814814814815,31,0,"2","GC"
"287","dfrA3b",1,0,6,6,6,0,"2","GC"
"288","dfrA5",207,17,372,1.95789473684211,405.284210526316,33.2842105263158,"4","GC"
"289","dfrA6",1,0,1,1,1,0,"1","TBD"
"290","dfrA7",136,7,297,2.30232558139535,313.116279069767,16.1162790697674,"4","GC"
"291","dfrA8",298,12,460,1.60839160839161,479.300699300699,19.3006993006993,"4","GC"
"292","dfrB1",5,0,5,1,5,0,"2","GC"
"293","dfrB4",6,0,7,1.16666666666667,7,0,"2","GC"
